file	layer	cohort	structural_group	carrier	id	field	bytes	semantic_class	disposition_class	construction_mechanism	migration_target	has_dissolve_trigger	preview
dag/std/observation.dag	std	extended	dissolution_note	data String	selection_noop_generated_artifact_rename_scaffold_note	value	1260	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	False	DECLARED SCAFFOLD (review 44094, DESIGN 6). The rename above is a LOCAL disambiguation, not a fix: t
dag/std/observation.dag	std	extended	dissolution_note	data String	observation_dwell_recalibration_note	value	603	SPEC_NORM	authority_note_mixed	SingleAuthority	authority_note_mixed	True	Declared scaffold, with its trigger: the design doc says T's basis is the measured quiet-time distri
dag/std/observation.dag	std	extended	dissolution_note	data String	observation_empty_subject_note	value	816	SPEC_NORM	authority_note_mixed	SubstrateMandatoryTag	authority_note_mixed	True	The empty-path arm NAMES the absence rather than inventing a subject, and it does not widen: unattri
dag/std/occurrence_binding.dag	std	primary	dissolve_on_row	data String	occurrence_binding_staged_adoption_dissolve_on	value	299	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	DISSOLVE-ON: both production resolver paths consume OccurrenceBindingResult by execution — v1 emits 
dag/std/occurrence_binding_candidates.dag	std	extended	dissolution_note	data String	authored_order_note	value	397	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	AuthoredOrderRow carries the authored token ordinal for one occurrence — the source-order axis, dist
dag/std/occurrence_binding_candidates.dag	std	extended	dissolution_note	data String	occurrence_binding_candidates_section13_conformance_note	value	857	SPEC_NORM	authority_note_mixed	SingleAuthority	authority_note_mixed	False	P2a first-slice scoped conformance roster (namespace-unique-on-chain-operational-plan.md section 2 p
dag/std/occurrence_binding_candidates.dag	std	extended	dissolution_prose	data String	occurrence_safe_collector_dedup_receipt	value	273	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	SCAFFOLD: production occurrence collector must deduplicate repeated discovery of the same identity b
dag/std/occurrence_binding_candidates.dag	std	primary	dissolve_on_row	data String	section13_module_path_is_symbolic_dissolve_on	value	402	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	feature:module-path-qualified-name — DISSOLVE-ON: DeclarationRef.module_path / OccurrenceModulePathR
dag/std/occurrence_identity.dag	std	primary	dissolve_on_row	data String	authored_token_ordinal_typed_bridge_dissolve_on	value	296	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	feature:occurrence-ordinal-value-measure — DISSOLVE-ON: std.nat converges on the modeled Nat inhabit
dag/std/occurrence_identity.dag	std	primary	dissolve_on_row	data String	authored_token_ordinal_value_bridge_dissolve_on	value	281	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	feature:occurrence-ordinal-value-measure — DISSOLVE-ON: same trigger as authored_token_ordinal_typed
dag/std/occurrence_identity.dag	std	extended	dissolution_note	data String	occurrence_containment_storage_projection_note	value	481	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	False	OccurrenceContainmentPath is the concrete compact storage projection of std.occurrence_binding.Conta
dag/std/occurrence_identity.dag	std	primary	dissolve_on_row	data String	occurrence_containment_storage_projection_dissolve_on	value	312	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	DISSOLVE-ON: PR #7515 lands std_occurrence_binding on the stage0 roster and proves ContainmentPath<O
dag/std/primitive_identity.dag	std	extended	dissolution_note	data String	primitive_identity_d0_note	value	457	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	True	D0 (primitive-identity-join first slice): semantic primitive identity is ONE join key across five in
dag/std/primitive_identity.dag	std	extended	dissolution_note	data String	primitive_interpreter_surface_unenumerable_finding_note	value	648	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	False	Finding (inherits to v1 exit lane): the interpreter primitive surface was six hand-written Rust disp
dag/std/primitive_identity.dag	std	extended	dissolution_note	data String	primitive_d0_surface_alias_bindings_note	value	242	SPEC_NORM	authority_note_mixed	SingleAuthority	authority_note_mixed	True	D0 specimen alias table — single (authority × authored_symbol) → PrimitiveIdentity authority consume
dag/std/primitives.dag	std	extended	dissolution_note	data String	builtin_registry_surface_names_note	value	401	SPEC_NORM	authority_note_mixed	SingleAuthority	authority_note_mixed	True	Enumerable registry surface names parallel to builtin_function_registry keys. Witness-time census ca
dag/std/primitives.dag	std	extended	dissolution_note	data String	primitive_contract_roster_note	value	427	SPEC_NORM	authority_note_mixed	SingleAuthority	authority_note_mixed	True	Hand-maintained parallel enumeration of every *_contract data declaration in this module. A new foo_
dag/std/realization_measurement.dag	std	extended	dissolution_note	data String	elapsed_observation_hand_rust_deferral_note	value	711	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	True	HAND-RUST GATE explicit deferral. The observed_monotonic_nanos Instant bridge in v1_interpreter.rs i
dag/std/realization_schedule.dag	std	extended	dissolution_note	data String	schedule_witness_entry_function_optional_note	value	597	SPEC_NORM	authority_note_mixed	SingleAuthority	authority_note_mixed	True	function is OPTIONAL at file grain (umbrella dissolution U3, 2026-07-26): the empty string means Abs
dag/std/realization_schedule.dag	std	primary	dissolution_note	data String	floor_worker_observation_note	value	1448	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	The floor coordinator is structurally closure-free: only worker processes resolve or execute a plan.
dag/std/realization_schedule.dag	std	primary	dissolution_note	data String	scoped_witness_execution_authority_seed_refusal_note	value	681	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	PRE-EXISTING SEED DIAGNOSTIC DEBT, observed by the scoped carrier rather than created by it: cli_run
dag/std/realization_schedule.dag	std	primary	dissolution_note	data String	scoped_witness_execution_receipt_wire_note	value	1592	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	ScopedWitnessExecutionResult and ScopedWitnessExecutionOutcome are the semantic API; the TSV path, h
dag/std/realization_schedule.dag	std	extended	dissolution_note	data String	scoped_witness_exact_head_grounding_note	value	435	SPEC_NORM	authority_note_mixed	SubstrateMandatoryTag	authority_note_mixed	True	Scoped witness execution results bind every row to the explicit lowercase 40-hex head supplied by th
dag/std/realization_schedule.dag	std	extended	dissolution_note	data String	walk_plan_note	value	8003	SPEC_NORM	authority_note_mixed	SubstrateMandatoryTag	authority_note_mixed	False	A walk is TWO populations with DIFFERENT ordering laws, and the type says so where a bare List<List<
dag/std/realization_schedule.dag	std	extended	dissolution_prose	data String	walk_plan_run_stage_claim_executor_seed_deferral	value	5016	RATIONALE	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	False	§7 SEED-RETAINED, declared here because this is where the obligation is INCURRED (review 2026-07-31;
dag/std/realization_schedule.dag	std	primary	dissolution_note	data String	walk_finalization_note	value	3782	SPEC_NORM	Scaffold_candidate	SubstrateMandatoryTag	Disposition.Scaffold	True	THE PLAN CARRIES ITS FINALIZATION POLICY IN ITS TYPE, and the executor never infers it — not from a 
dag/std/selected_witness_bundle.dag	std	primary	dissolution_note	data String	native_production_transition_population_note	value	758	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	🟡 The population law is a VALIDATOR over the flat-count receipt (review 47496): counts and verdict a
dag/std/state_durability.dag	std	primary	dissolution_note	data String	state_durability_boundary_uniqueness_scaffold_note	value	664	SPEC_NORM	Scaffold_candidate	SubstrateMandatoryTag	Disposition.Scaffold	True	🟡 dissolve-on: docs/plans/hollow-alias-construction-wall.md makes refinement/bodyless declarations c
dag/std/state_durability.dag	std	primary	dissolution_note	data String	state_definition_linkage_frontier_note	value	544	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	🟡 dissolve-on: the namespace-only resolution lane lands its content-addressed SymbolIndex containmen
dag/std/trait_derive_shape.dag	std	extended	dissolution_prose	data String	trait_derive_shape_grounding_lane_handoff	value	451	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	False	Root-4 arm (b): coproduct-native arithmetic + PartialOrd/PartialEq impl blocks for algebra carriers 
dag/std/trait_derive_shape.dag	std	primary	dissolve_on_row	data String	trait_derive_shape_dissolve_on	value	271	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	False	ReprGroundingDeriveTrait members that name Rust-specific authorities (ReprDeriveSerialize, ReprDeriv
dag/std/trait_derive_shape.dag	std	primary	dissolve_on_row	data String	pair_completion_shape_dissolve_on	value	237	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	Dissolves when v2 derives these rows from the std.algebra Ring/AbelianGroup inhabitance witnesses di
dag/std/trait_derive_shape.dag	std	primary	dissolve_on_row	data String	pair_completion_uses_rhs_dissolve_on	value	685	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	dissolve-on: std.trait_derive_shape.pair_completion_arm_uses_rhs / pair_completion_body_uses_rhs — v
dag/std/trait_derive_shape.dag	std	extended	dissolution_note	data String	repr_grounding_group_completion_carrier_note	value	493	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	Interim carrier identity for capability-table selection of GroupCompletion pair-completion bodies (#
dag/std/trait_derive_shape.dag	std	primary	dissolve_on_row	data String	repr_grounding_group_completion_carrier_dissolve_on	value	495	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	dissolve-on: repr_grounding_group_completion_carrier — name-match module_path/name selection. Dissol
dag/std/trait_derive_shape.dag	std	primary	dissolve_on_row	data String	repr_grounding_bool_host_bridge_dissolve_on	value	374	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	dissolve-on: repr_grounding_supplemental_bool_host_bridge_target / v1_emit_enum_supplemental_impls —
dag/std/types.dag	std	primary	dissolution_note	data String	file_path_sentinel_scaffold_note	value	699	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	review 45141. FilePath where non_empty made empty-string absent-file sentinels unwritable; interim r
dag/std/witness_admission.dag	std	extended	dissolution_note	data String	witness_admission_authority_note	value	1044	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	Phase 0(b) admission invariant (docs/plans/module-identity-storage-binding-design.md): every enrolle
dag/std/witness_admission.dag	std	extended	dissolution_note	data String	witness_admission_predicate_dissolution_note	value	203	RECEIPT	EVENT_fired_scaffold	SingleAuthority	EVENT_fired_scaffold	False	witness_consumer_cadence_is_live / witness_admission_refusal_is_holds dissolved per review 39760 — w
dag/extdeps/bmc/capability.dag	extdeps	primary	dissolve_on_row	data String	bmc_firmware_semver_parser_dissolve_on	value	368	SPEC_NORM	Scaffold_candidate	SubstrateMandatoryTag	Disposition.Scaffold	True	🟡 dissolve-on: a cited semantic-version grammar row set lands in the shared grammar substrate with f
dag/extdeps/bmc/http.dag	extdeps	extended	dissolution_note	data String	redfish_http_hardwired_transport_note	value	694	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	True	§3(b) declared debt: every operation below re-spells the shell/curl transport handler per row (the h
dag/extdeps/bmc/openbmc_fan_control.dag	extdeps	extended	dissolution_note	data String	openbmc_fan_control_authority_anchor_scaffold_note	value	405	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	False	SCAFFOLD (mandatory-tag corpus cadence) - the host scanner reads the correct openbmc_busctl_authorit
dag/extdeps/bmc/openbmc_operation.dag	extdeps	extended	dissolution_note	data String	openbmc_operation_authority_anchor_scaffold_note	value	387	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	False	SCAFFOLD (mandatory-tag corpus cadence) - the host scanner reads an aliased anchor as absent, so the
dag/extdeps/bmc/openbmc_password_ssh_transport.dag	extdeps	extended	dissolution_note	data String	openbmc_password_ssh_authority_anchor_scaffold_note	value	391	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	False	SCAFFOLD (mandatory-tag corpus cadence) - the host scanner reads the correct sshpass_authority alias
dag/extdeps/bmc/serial_console.dag	extdeps	primary	dissolution_prose	data String	sol_console_send_bash_emit_dissolution_trigger	value	307	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	🟡 dissolve-on: sol_console_send — ipmitool/obmc-console interactive send composed as shell transport
dag/extdeps/bmc/types.dag	extdeps	primary	dissolution_note	data String	validated_bmc_fan_curve_construction_scaffold_note	value	465	SPEC_NORM	Scaffold_candidate	SubstrateMandatoryTag	Disposition.Scaffold	True	🟡 dissolve-on: docs/plans/hollow-alias-construction-wall.md makes refinement/bodyless declarations c
dag/extdeps/cache/sccache.dag	extdeps	primary	dissolution_prose	data String	sccache_install_dissolution_trigger	value	513	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	🟡 dissolve-on: sccache_install_script — the sccache binary install (curl release tarball + sha256sum
dag/extdeps/cloud/gcp/auth_print_access_token.dag	extdeps	primary	dissolve_on_row	data String	gcloud_auth_stderr_substring_classifier_dissolve_on	value	627	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	🟡 dissolve-on: a cited structured gcloud auth-status surface (for example `gcloud auth print-access-
dag/extdeps/color/srgb.dag	extdeps	extended	dissolution_prose	data String	color_census_frontier	value	536	XREF	EVENT_fired_scaffold	SingleAuthority	EVENT_fired_scaffold	False	Staged leaf-census items dissolved in Phase-A arc (msg_e9cfe443): (1-4) srgb_byte_denominator / perm
dag/extdeps/container/docker_ce.dag	extdeps	primary	dissolution_prose	data String	docker_ce_install_dissolution_trigger	value	746	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	🟡 dissolve-on: docker_ce_repo_install_script — the docker-ce apt-repo bootstrap (install keyrings di
dag/extdeps/container/oci/digest.dag	extdeps	primary	dissolution_note	data String	oci_content_digest_note	value	1090	SPEC_NORM	Scaffold_candidate	SubstrateMandatoryTag	Disposition.Scaffold	True	OCI digest authority (image-spec descriptor.md; distribution-spec digest): algorithm-qualified conte
dag/extdeps/dhcp/v4.dag	extdeps	primary	dissolution_note	data String	ipv4_address_brand_dissolved_note	value	648	RECEIPT	EVENT_fired_scaffold	SingleAuthority	EVENT_fired_scaffold	False	The Ipv4Address anemic brand (NonEmptyStr where brand) was dissolved 2026-07-24: it is now the struc
dag/extdeps/exec/command.dag	extdeps	primary	dissolution_prose	data String	ssh_host_key_verification_posture	value	663	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	🟡 dissolve-on: ssh_exec_prefix — DECLARED SECURITY POSTURE, not an accident of argv building: Strict
dag/extdeps/external_authority.dag	extdeps	extended	dissolution_note	data String	external_model_scope_decision_kernel_note	value	1217	SPEC_NORM	Scaffold_candidate	SubstrateMandatoryTag	Disposition.Scaffold	True	HONESTY BOUNDARY (operator verdict on gunbc#7571, 2026-08-01): external_model_scope_decision is a pu
dag/extdeps/filesystem/linux.dag	extdeps	primary	dissolve_on_row	data String	linux_proc_mounts_parser_dissolve_on	value	406	SPEC_NORM	Scaffold_candidate	SubstrateMandatoryTag	Disposition.Scaffold	True	🟡 dissolve-on: a cited proc_mounts grammar row set lands in the shared grammar substrate with forwar
dag/extdeps/firmware/uefi_shell.dag	extdeps	primary	dissolution_prose	data String	uefi_shell_removable_media_tokens_doc	value	703	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	🟡 dissolve-on: uefi_shell_removable_media_device_path_tokens — the removable-install-media classific
dag/extdeps/formats/elf/types.dag	extdeps	primary	dissolve_on_row	data String	elf_phdr_decode_outcome_dissolve_on	value	160	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	dissolve-on: elf.segments.PhdrDecodeOutcome — deleted parallel decode machinery; sole authority is e
dag/extdeps/github/actions.dag	extdeps	primary	dissolution_note	data String	action_ref_double_bound_finding_note	value	2359	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	review 44886 surfaced this while ActionRef was being used as the SECOND SUBJECT proving Pin<Subject>
dag/extdeps/languages/css/properties.dag	extdeps	extended	dissolution_note	data String	css_property_note	value	1090	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	False	Cited upstream: the W3C CSS property index (the union of the CSS module specs — box, fonts, flexbox,
dag/extdeps/languages/css/selectors.dag	extdeps	extended	dissolution_note	data String	css_selector_note	value	1105	SPEC_NORM	authority_note_mixed	SubstrateMandatoryTag	authority_note_mixed	False	Cited upstream: W3C Selectors Level 4. The BOUNDED grain (D5): a rule's subject is a typed SelectorS
dag/extdeps/languages/json/grammar.dag	extdeps	extended	dissolution_note	data String	json_escape_production_note	value	1654	SPEC_NORM	authority_note_mixed	SubstrateMandatoryTag	authority_note_mixed	True	RFC 8259 section 7: escape = %x22 / %x5C / %x2F / %x62 / %x66 / %x6E / %x72 / %x74 / %x75 4HEXDIG. T
dag/extdeps/languages/json/grammar.dag	extdeps	extended	dissolution_note	data String	json_text_whole_document_reading_note	value	1382	SPEC_NORM	authority_note_mixed	SingleAuthority	authority_note_mixed	True	json_text_parseable used to live here, deciding on the span scanner alone whether a whole document w
dag/extdeps/languages/json/parse.dag	extdeps	extended	dissolution_note	data String	json_parse_note	value	1900	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	parse_json is the FORWARD reading of RFC 8259: text -> JsonValue, the inverse of extdeps.languages.j
dag/extdeps/languages/react_jsx.dag	extdeps	primary	dissolution_prose	data String	react_jsx_site_subsumption_jsx_page_emission	value	213	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	dissolve-on: gunb.ai site-subsumption emits ≥1 production page through serialize_jsx_component (a no
dag/extdeps/languages/rust/emit.dag	extdeps	primary	dissolve_on_row	data String	rust_pair_completion_dissolve_on	value	260	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	Dissolves when the emitted-target operator surface is selected by the grammar-row inverse in extdeps
dag/extdeps/languages/rust/emit.dag	extdeps	primary	dissolve_on_row	data String	rust_pair_completion_nonpolynomial_body_dissolve_on	value	1030	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	dissolve-on: the Sub and Div bodies rendered below. Scope honesty (review 43189): only Add, Mul and 
dag/extdeps/languages/rust/types.dag	extdeps	primary	dissolve_on_row	data String	rust_types_name_catalog_dissolve_on	value	217	SPEC_NORM	Scaffold_candidate	SingleAuthority	Disposition.Scaffold	True	dissolve-on: rust.types.integer_types/float_types — deleted bare String name lists with zero consume
dag/extdeps/linux/usb_gadget.dag	extdeps	primary	dissolution_prose	data String	configfs_op_render_dissolution_trigger	value	555	SPEC_NORM	Scaffold_candidate	RealizationDispatch	Disposition.Scaffold	True	🟡 dissolve-on: configfs_op_line — the ConfigfsOp list is the typed authority (structure), but each o
dag/extdeps/llm/cli.dag	extdeps	extended	dissolution_note	data String	claude_workspace_trust_note	value	1700	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	False	Claude code's per-user config is `~/.claude.json`; its `projects` map keys ABSOLUTE workspace paths 
dag/extdeps/llm/codex_auth.dag	extdeps	extended	dissolution_note	data String	codex_refresh_rotation_note	value	1122	RATIONALE	authority_note_mixed	SingleAuthority	authority_note_mixed	False	WHETHER REFRESH ROTATES IS UNKNOWN AND MUST STAY UNKNOWN UNTIL OBSERVED, because the answer decides 
dag/extdeps/network/ipv4.dag	extdeps	extended	dissolution_note	data String	ipv4_grounding_note	value	972	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	False	Structured IPv4 address — the dissolution of extdeps.dhcp.v4.Ipv4Address's anemic 'NonEmptyStr where
dag/extdeps/network/reach.dag	extdeps	extended	dissolution_note	data String	reach_note	value	1366	SPEC_NORM	authority_note_mixed	RealizationDispatch	authority_note_mixed	False	How packets get to a host — a network-reach fact, DELIBERATELY INDEPENDENT of the shell/execution tr
