reference_site	intended_declaration_identity	actually_selected_declaration_identity	visible_candidate_set	failure_class	reach_vs_binding	witness_qualified	error_message
test.claim.board_part_land_pattern_witness.w_no_candidate_is_admissible_and_indexing_is_the_only_reason				other	other	test.claim.board_part_land_pattern_witness.w_no_candidate_is_admissible_and_indexing_is_the_only_reason	non-exhaustive pattern match on: TerminalIndexingUnestablished { what_is_missing: the pin-one location, the numbering direction, the top-versus-bottom view convention the drawing is stated in, the terminal-to-land identity relation and the electrical role of any exposed pad, for package DBV0006A. None of those were transcribed and this repository carries no pin-map model to receive them, so this candidate cannot be admitted for footprint realization and a consumer cannot mistake matching counts and pitch for a known pin map }
test.claim.budget_tree_witness (witness); bare=child_node		gunbc.fleet_host_budget.child_node	gunbc.fleet_host_budget|test.claim.budget_tree_witness|test.claim.roadmap_document|test.claim.roadmap_emit	call_contract_mismatch	bare_name_binding	test.claim.budget_tree_witness.witness_tree_conservation_recursive	call contract mismatch calling 'child_node': no parameter named 'cap' (declared: [name, b])
test.claim.budget_tree_witness (witness); bare=child_node		gunbc.fleet_host_budget.child_node	gunbc.fleet_host_budget|test.claim.budget_tree_witness|test.claim.roadmap_document|test.claim.roadmap_emit	call_contract_mismatch	bare_name_binding	test.claim.budget_tree_witness.witness_divide_once	call contract mismatch calling 'child_node': no parameter named 'cap' (declared: [name, b])
test.claim.build_artifact_corruption_probe_witness.build_artifact_corruption_probe_holds				other	other	test.claim.build_artifact_corruption_probe_witness.build_artifact_corruption_probe_holds	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
test.claim.build_artifact_corruption_probe_witness.witness_bin_readiness_arms_are_discriminating				other	other	test.claim.build_artifact_corruption_probe_witness.witness_bin_readiness_arms_are_discriminating	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.ci_deploy_target_host_witness (witness); bare=gunbc_ci_deploy_srv1_stage				no_such_function	reach_gap	test.claim.ci_deploy_target_host_witness.witness_deploy_stage_pins_srv1_runner_label	no such function: gunbc_ci_deploy_srv1_stage
test.claim.ci_deploy_target_host_witness (witness); bare=gunbc_ci_deploy_srv1_stage				no_such_function	reach_gap	test.claim.ci_deploy_target_host_witness.witness_deploy_job_not_on_ubicloud_runner	no such function: gunbc_ci_deploy_srv1_stage
test.claim.ci_exclusion_proof.ci_exclusion_proof_sentinel				other	other	test.claim.ci_exclusion_proof.ci_exclusion_proof_sentinel	returned Bool(false)
test.claim.citation_cit1_witness.rfc_8118_anchor_cites_current_standard_not_3778				other	other	test.claim.citation_cit1_witness.rfc_8118_anchor_cites_current_standard_not_3778	returned Bool(false)
test.claim.citation_cit1_witness.iso_32000_2_is_further_citation				other	other	test.claim.citation_cit1_witness.iso_32000_2_is_further_citation	returned Bool(false)
test.claim.citation_cit1_witness.project_navigable_uri_safe_refuses_when_base_carries_fragment				other	other	test.claim.citation_cit1_witness.project_navigable_uri_safe_refuses_when_base_carries_fragment	returned Bool(false)
test.claim.commit_writer_heal_admission_real_execution.clean_staged_index_admits_by_real_execution				other	other	test.claim.commit_writer_heal_admission_real_execution.clean_staged_index_admits_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.commit_writer_heal_admission_real_execution.unmerged_index_with_no_markers_refuses_by_real_execution				other	other	test.claim.commit_writer_heal_admission_real_execution.unmerged_index_with_no_markers_refuses_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.commit_writer_heal_admission_real_execution.unclaimed_text_blob_with_markers_refuses_red_control_by_real_execution				other	other	test.claim.commit_writer_heal_admission_real_execution.unclaimed_text_blob_with_markers_refuses_red_control_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.commit_writer_heal_admission_real_execution.space_and_tab_named_paths_admit_by_real_execution				other	other	test.claim.commit_writer_heal_admission_real_execution.space_and_tab_named_paths_admit_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.compute_board_emission_entry_witness (witness); bare=emit_verilog		v2.test.claim.verilog_interlock_emission_test.emit_verilog	product.compute_board.emission_entry|v2.test.claim.verilog_interlock_emission_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_emission_entry_witness.w_the_production_article_emits_through_every_entry	call contract mismatch calling 'emit_verilog': missing required argument 'emitted' (0 of 1 required argument(s) supplied)
test.claim.compute_board_physical_witness (witness); bare=admits		test.claim.check_coverage_admission_witness.admits	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	call_contract_mismatch	bare_name_binding	test.claim.compute_board_physical_witness.w_a_coherent_placement_is_admitted	call contract mismatch calling 'admits': no parameter named 'placements' (declared: [coverage])
test.claim.compute_board_physical_witness (witness); bare=refuses_naming		test.claim.compute_board_pin_chain_witness.refuses_naming	test.claim.altra_minimal_design_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_pin_chain_witness|test.claim.compute_board_power_distribution_witness	call_contract_mismatch	bare_name_binding	test.claim.compute_board_physical_witness.w_a_part_that_does_not_fit_inside_the_outline_refuses	call contract mismatch calling 'refuses_naming': no parameter named 'placements' (declared: [assignments, wanted])
test.claim.compute_board_physical_witness (witness); bare=refuses_naming		test.claim.compute_board_pin_chain_witness.refuses_naming	test.claim.altra_minimal_design_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_pin_chain_witness|test.claim.compute_board_power_distribution_witness	call_contract_mismatch	bare_name_binding	test.claim.compute_board_physical_witness.w_two_parts_sharing_area_refuse	call contract mismatch calling 'refuses_naming': no parameter named 'placements' (declared: [assignments, wanted])
test.claim.compute_board_physical_witness (witness); bare=admits		test.claim.check_coverage_admission_witness.admits	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	call_contract_mismatch	bare_name_binding	test.claim.compute_board_physical_witness.w_touching_bodies_do_not_register_as_overlapping	call contract mismatch calling 'admits': no parameter named 'placements' (declared: [coverage])
test.claim.compute_board_physical_witness (witness); bare=refuses_naming		test.claim.compute_board_pin_chain_witness.refuses_naming	test.claim.altra_minimal_design_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_pin_chain_witness|test.claim.compute_board_power_distribution_witness	call_contract_mismatch	bare_name_binding	test.claim.compute_board_physical_witness.w_a_repeated_placement_identity_refuses	call contract mismatch calling 'refuses_naming': no parameter named 'placements' (declared: [assignments, wanted])
test.claim.compute_board_physical_witness (witness); bare=refuses_naming		test.claim.compute_board_pin_chain_witness.refuses_naming	test.claim.altra_minimal_design_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_pin_chain_witness|test.claim.compute_board_power_distribution_witness	call_contract_mismatch	bare_name_binding	test.claim.compute_board_physical_witness.w_a_placement_in_another_frame_refuses	call contract mismatch calling 'refuses_naming': no parameter named 'placements' (declared: [assignments, wanted])
test.claim.compute_board_physical_witness.w_a_millimetre_board_frame_refuses				other	other	test.claim.compute_board_physical_witness.w_a_millimetre_board_frame_refuses	non-exhaustive pattern match on: BoardFrameIsNotSubMillimetre { frame: CoordinateFrameIdentity { occurrence: 13 } }
test.claim.compute_board_physical_witness.w_an_unregistered_board_frame_refuses_distinctly				other	other	test.claim.compute_board_physical_witness.w_an_unregistered_board_frame_refuses_distinctly	non-exhaustive pattern match on: BoardFrameUnregistered { frame: CoordinateFrameIdentity { occurrence: 11 } }
test.claim.compute_board_pin_chain_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_pin_chain_witness.w_the_production_pin_constraints_emit_exact_bytes	call contract mismatch calling 'project': no parameter named 'bindings' (declared: [obs, unit, linger])
test.claim.compute_board_pin_chain_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_pin_chain_witness.w_a_respelled_port_moves_the_constraint_file	call contract mismatch calling 'project': no parameter named 'bindings' (declared: [obs, unit, linger])
test.claim.compute_board_readiness_witness.w_altra_contact_map_is_published_and_lands_in_design_family				other	other	test.claim.compute_board_readiness_witness.w_altra_contact_map_is_published_and_lands_in_design_family	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
test.claim.compute_board_spice_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_spice_projection_witness.w_modelled_circuit_emits_expected_deck_bytes	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])
test.claim.compute_board_spice_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_spice_projection_witness.w_one_perturbed_value_changes_the_deck	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])
test.claim.compute_board_spice_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_spice_projection_witness.w_unmodelled_element_refuses_and_emits_nothing	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])
test.claim.compute_board_spice_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_spice_projection_witness.w_model_standing_alone_decides_the_arm	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])
test.claim.compute_board_spice_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_spice_projection_witness.w_vendor_subcircuit_refuses_rather_than_emitting_an_ideal_part	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])
test.claim.compute_board_spice_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_spice_projection_witness.w_missing_binding_is_not_an_absent_model	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])
test.claim.compute_board_spice_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_spice_projection_witness.w_duplicate_model_binding_refuses_in_either_order	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])
test.claim.compute_board_spice_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_spice_projection_witness.w_same_circuit_without_the_extra_net_emits	call contract mismatch calling 'project': no parameter named 'components' (declared: [obs, unit, linger])
test.claim.compute_board_verilog_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_verilog_projection_witness.w_interlock_emits_exact_verilog_bytes	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])
test.claim.compute_board_verilog_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_verilog_projection_witness.w_fault_polarity_change_changes_emitted_bytes	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])
test.claim.compute_board_verilog_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_verilog_projection_witness.w_digital_change_is_confined_to_the_digital_projection	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])
test.claim.compute_board_verilog_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_verilog_projection_witness.w_reserved_word_spelling_refuses	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])
test.claim.compute_board_verilog_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_verilog_projection_witness.w_spelling_with_a_forbidden_character_refuses	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])
test.claim.compute_board_verilog_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_verilog_projection_witness.w_production_bindings_are_admitted	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])
test.claim.compute_board_verilog_projection_witness (witness); bare=project		test.claim.spark_serving_full_plan_witness_test.project	test.claim.compute_board_pin_chain_witness|test.claim.compute_board_spice_projection_witness|test.claim.compute_board_verilog_projection_witness|test.claim.spark_serving_full_plan_witness_test	call_contract_mismatch	bare_name_binding	test.claim.compute_board_verilog_projection_witness.w_duplicate_signal_binding_refuses_in_either_order	call contract mismatch calling 'project': no parameter named 'intent' (declared: [obs, unit, linger])
test.claim.config_record_emit_witness (witness); bare=manifest_record_knobs				no_such_function	reach_gap	test.claim.config_record_emit_witness.witness_manifest_knobs_space_separated	no such function: manifest_record_knobs
test.claim.config_record_emit_witness (witness); bare=manifest_record_knobs				no_such_function	reach_gap	test.claim.config_record_emit_witness.witness_same_fields_differ_across_knobs	no such function: manifest_record_knobs
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_single_param_lambda_parses				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_single_param_lambda_parses	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_multi_param_lambda_parses				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_multi_param_lambda_parses	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_lambda_in_pipeline_parses				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_lambda_in_pipeline_parses	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_authored_algebra_shape_parses				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_authored_algebra_shape_parses	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_lambda_block_body_parses				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_lambda_block_body_parses	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_match_arm_fat_arrow_unchanged				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_match_arm_fat_arrow_unchanged	eval budget exceeded: 504ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_named_arg_unchanged				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_named_arg_unchanged	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_paren_arithmetic_unchanged				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_paren_arithmetic_unchanged	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_sum_decl_unchanged				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_sum_decl_unchanged	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_missing_body_refuses_RED				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_missing_body_refuses_RED	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_missing_param_refuses_RED				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_missing_param_refuses_RED	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_single_paren_param_refuses_RED				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_single_paren_param_refuses_RED	eval budget exceeded: 504ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_zero_param_refuses_RED				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_zero_param_refuses_RED	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
gunbc.test.claim.dag_arrow_lambda_witness_test.witness_pre_repair_grammar_restores_the_RED				other	other	gunbc.test.claim.dag_arrow_lambda_witness_test.witness_pre_repair_grammar_restores_the_RED	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
