file	line	col	trait	self_type	shape	root	reason	entry_example	message
src/v2_compiler_compile.rs	421	238	Fn	Rc<dyn Fn(Rc<Node>) -> Rc<Outcome<Rc<Medium<std::string::String>>>>>	fn_closure	R3	function-value carrier: `Rc<dyn Fn..>` where an `Fn` bound is expected	03_ingest	expected a `Fn(_)` closure, found `Rc<dyn Fn(Rc<Node>) -> Rc<Outcome<Rc<Medium<std::string::String>>>>>`
src/v2_compiler_emit_host.rs	199	63	Clone	U	trait_bound	A	generic type parameter `U` carries no `Clone` bound	emit_host	the trait bound `U: Clone` is not satisfied
src/v2_compiler_emit_host.rs	199	180	Clone	U	trait_bound	A	generic type parameter `U` carries no `Clone` bound	emit_host	the trait bound `U: Clone` is not satisfied
src/v2_compiler_emit_host.rs	199	202	Clone	U	trait_bound	A	generic type parameter `U` carries no `Clone` bound	emit_host	the trait bound `U: Clone` is not satisfied
src/v2_compiler_eval.rs	129	53	serde::Deserialize<'de>	EffectIoEvalBundle	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `EffectIoEvalBundle: serde::Deserialize<'de>` is not satisfied
src/v2_compiler_eval.rs	134	9	Debug	EffectIoEvalBundle	doesnt_implement	T5b	serde/Debug demanded over a value that carries functions	03_ingest	`EffectIoEvalBundle` doesn't implement `Debug`
src/v2_compiler_eval.rs	134	17	serde::Deserialize<'de>	EffectIoEvalBundle	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `EffectIoEvalBundle: serde::Deserialize<'de>` is not satisfied
src/v2_compiler_eval.rs	303	19	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	03_ingest	the trait bound `T: Clone` is not satisfied
src/v2_compiler_eval.rs	330	21	Clone	A	trait_bound	A	generic type parameter `A` carries no `Clone` bound	03_ingest	the trait bound `A: Clone` is not satisfied
src/v2_compiler_materialization_carriers.rs	186	50	Clone	B	trait_bound	A	generic type parameter `B` carries no `Clone` bound	materialization_carriers	the trait bound `B: Clone` is not satisfied
src/v2_compiler_materialization_carriers.rs	186	84	Clone	A	trait_bound	A	generic type parameter `A` carries no `Clone` bound	materialization_carriers	the trait bound `A: Clone` is not satisfied
src/v2_compiler_materialization_carriers.rs	187	50	Clone	B	trait_bound	A	generic type parameter `B` carries no `Clone` bound	03_ingest	the trait bound `B: Clone` is not satisfied
src/v2_compiler_materialization_carriers.rs	187	84	Clone	A	trait_bound	A	generic type parameter `A` carries no `Clone` bound	03_ingest	the trait bound `A: Clone` is not satisfied
src/v2_compiler_tokenize.rs	489	35	serde::Serialize	CompiledLexRule	trait_bound	T5b	serde/Debug demanded over a value that carries functions	01_tokenize	the trait bound `CompiledLexRule: serde::Serialize` is not satisfied
src/v2_compiler_tokenize.rs	489	53	serde::Deserialize<'de>	CompiledLexRule	trait_bound	T5b	serde/Debug demanded over a value that carries functions	01_tokenize	the trait bound `CompiledLexRule: serde::Deserialize<'de>` is not satisfied
src/v2_compiler_tokenize.rs	499	5	Debug	CompiledLexRule	doesnt_implement	T5b	serde/Debug demanded over a value that carries functions	01_tokenize	`CompiledLexRule` doesn't implement `Debug`
src/v2_compiler_tokenize.rs	499	16	serde::Deserialize<'de>	CompiledLexRule	trait_bound	T5b	serde/Debug demanded over a value that carries functions	01_tokenize	the trait bound `CompiledLexRule: serde::Deserialize<'de>` is not satisfied
src/v2_extdeps_runtimes_v2_effect_io_pure.rs	51	35	std::hash::Hash	Fnv1a64Structural	trait_bound	T7	content-hash carrier	03_ingest	the trait bound `Fnv1a64Structural: std::hash::Hash` is not satisfied
src/v2_extdeps_runtimes_v2_effect_io_pure.rs	51	53	std::hash::Hash	Fnv1a64Structural	trait_bound	T7	content-hash carrier	03_ingest	the trait bound `Fnv1a64Structural: std::hash::Hash` is not satisfied
src/v2_extdeps_runtimes_v2_effect_io_pure.rs	54	5	std::hash::Hash	Fnv1a64Structural	trait_bound	T7	content-hash carrier	03_ingest	the trait bound `Fnv1a64Structural: std::hash::Hash` is not satisfied
src/v2_extdeps_runtimes_v2_effect_io_pure.rs	54	18	std::hash::Hash	Fnv1a64Structural	trait_bound	T7	content-hash carrier	03_ingest	the trait bound `Fnv1a64Structural: std::hash::Hash` is not satisfied
src/v2_extdeps_runtimes_v2_effect_io_pure.rs	211	17	Eq	Fnv1a64Structural	trait_bound	T7	content-hash carrier	03_ingest	the trait bound `Fnv1a64Structural: Eq` is not satisfied
src/v2_extdeps_runtimes_v2_effect_io_pure.rs	304	73	Eq	Fnv1a64Structural	trait_bound	T7	content-hash carrier	03_ingest	the trait bound `Fnv1a64Structural: Eq` is not satisfied
src/v2_extdeps_runtimes_v2_effect_io_pure.rs	352	14	Eq	Fnv1a64Structural	trait_bound	T7	content-hash carrier	03_ingest	the trait bound `Fnv1a64Structural: Eq` is not satisfied
src/v2_std_algebra.rs	43	35	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	materialization_carriers	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	43	53	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	materialization_carriers	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	44	35	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	01_tokenize	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	44	53	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	01_tokenize	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	45	5	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	materialization_carriers	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	45	15	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	materialization_carriers	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	46	5	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	01_tokenize	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	46	15	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	01_tokenize	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	84	53	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	materialization_carriers	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	85	53	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	01_tokenize	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	88	9	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	materialization_carriers	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	88	15	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	materialization_carriers	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	89	9	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	01_tokenize	the trait bound `T: Clone` is not satisfied
src/v2_std_algebra.rs	89	15	Clone	T	trait_bound	A	generic type parameter `T` carries no `Clone` bound	01_tokenize	the trait bound `T: Clone` is not satisfied
src/v2_std_compilers_target_model.rs	107	53	serde::Deserialize<'de>	dyn Fn(Rc<Node>) -> Rc<Outcome<Rc<TargetBodiedArrowStatementScaffold>>>	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `dyn Fn(Rc<Node>) -> Rc<Outcome<Rc<TargetBodiedArrowStatementScaffold>>>: serde::Deserialize<'de>` is not satisfied
src/v2_std_compilers_target_model.rs	112	9	Debug	dyn Fn(Rc<Node>) -> Rc<Outcome<Rc<...>>>	doesnt_implement	T5b	serde/Debug demanded over a value that carries functions	03_ingest	`dyn Fn(Rc<Node>) -> Rc<Outcome<Rc<...>>>` doesn't implement `Debug`
src/v2_std_compilers_target_model.rs	112	17	serde::Deserialize<'de>	dyn Fn(Rc<Node>) -> Rc<Outcome<Rc<TargetBodiedArrowStatementScaffold>>>	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `dyn Fn(Rc<Node>) -> Rc<Outcome<Rc<TargetBodiedArrowStatementScaffold>>>: serde::Deserialize<'de>` is not satisfied
src/v2_std_compilers_target_model.rs	5976	35	serde::Serialize	PartialFunction<String, Rc<...>>	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `PartialFunction<String, Rc<...>>: serde::Serialize` is not satisfied
src/v2_std_compilers_target_model.rs	5976	53	serde::Deserialize<'de>	PartialFunction<String, Rc<...>>	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `PartialFunction<String, Rc<...>>: serde::Deserialize<'de>` is not satisfied
src/v2_std_compilers_target_model.rs	5979	5	Debug	PartialFunction<String, Rc<...>>	doesnt_implement	T5b	serde/Debug demanded over a value that carries functions	03_ingest	`PartialFunction<String, Rc<...>>` doesn't implement `Debug`
src/v2_std_compilers_target_model.rs	5979	23	serde::Deserialize<'de>	PartialFunction<String, Rc<...>>	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `PartialFunction<String, Rc<...>>: serde::Deserialize<'de>` is not satisfied
src/v2_std_compilers_target_model.rs	6005	35	serde::Serialize	PartialFunction<String, Rc<...>>	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `PartialFunction<String, Rc<...>>: serde::Serialize` is not satisfied
src/v2_std_compilers_target_model.rs	6005	53	serde::Deserialize<'de>	PartialFunction<String, Rc<...>>	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `PartialFunction<String, Rc<...>>: serde::Deserialize<'de>` is not satisfied
src/v2_std_compilers_target_model.rs	6009	5	Debug	PartialFunction<String, Rc<...>>	doesnt_implement	T5b	serde/Debug demanded over a value that carries functions	03_ingest	`PartialFunction<String, Rc<...>>` doesn't implement `Debug`
src/v2_std_compilers_target_model.rs	6009	23	serde::Deserialize<'de>	PartialFunction<String, Rc<...>>	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `PartialFunction<String, Rc<...>>: serde::Deserialize<'de>` is not satisfied
src/v2_std_node.rs	52	9	Eq	OccurrenceId	trait_bound	T5a	map-key derive missing on a concrete type	05_emit	the trait bound `OccurrenceId: Eq` is not satisfied
src/v2_std_runtime.rs	387	53	serde::Deserialize<'de>	ValueInterpreter	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `ValueInterpreter: serde::Deserialize<'de>` is not satisfied
src/v2_std_runtime.rs	391	9	Debug	ValueInterpreter	doesnt_implement	T5b	serde/Debug demanded over a value that carries functions	03_ingest	`ValueInterpreter` doesn't implement `Debug`
src/v2_std_runtime.rs	391	22	serde::Deserialize<'de>	ValueInterpreter	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `ValueInterpreter: serde::Deserialize<'de>` is not satisfied
src/v2_std_runtime.rs	394	9	Debug	TransformInterpreter	doesnt_implement	T5b	serde/Debug demanded over a value that carries functions	03_ingest	`TransformInterpreter` doesn't implement `Debug`
src/v2_std_runtime.rs	394	22	serde::Deserialize<'de>	TransformInterpreter	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `TransformInterpreter: serde::Deserialize<'de>` is not satisfied
src/v2_std_runtime.rs	397	9	Debug	BranchInterpreter	doesnt_implement	T5b	serde/Debug demanded over a value that carries functions	03_ingest	`BranchInterpreter` doesn't implement `Debug`
src/v2_std_runtime.rs	397	22	serde::Deserialize<'de>	BranchInterpreter	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `BranchInterpreter: serde::Deserialize<'de>` is not satisfied
src/v2_std_runtime.rs	400	9	Debug	LoopInterpreter	doesnt_implement	T5b	serde/Debug demanded over a value that carries functions	03_ingest	`LoopInterpreter` doesn't implement `Debug`
src/v2_std_runtime.rs	400	22	serde::Deserialize<'de>	LoopInterpreter	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `LoopInterpreter: serde::Deserialize<'de>` is not satisfied
src/v2_std_runtime.rs	403	9	Debug	BindInterpreter	doesnt_implement	T5b	serde/Debug demanded over a value that carries functions	03_ingest	`BindInterpreter` doesn't implement `Debug`
src/v2_std_runtime.rs	403	22	serde::Deserialize<'de>	BindInterpreter	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `BindInterpreter: serde::Deserialize<'de>` is not satisfied
src/v2_std_runtime.rs	406	9	Debug	MatchInterpreter	doesnt_implement	T5b	serde/Debug demanded over a value that carries functions	03_ingest	`MatchInterpreter` doesn't implement `Debug`
src/v2_std_runtime.rs	406	22	serde::Deserialize<'de>	MatchInterpreter	trait_bound	T5b	serde/Debug demanded over a value that carries functions	03_ingest	the trait bound `MatchInterpreter: serde::Deserialize<'de>` is not satisfied
src/v2_std_staging.rs	16	22	Clone	C	trait_bound	A	generic type parameter `C` carries no `Clone` bound	03_ingest	the trait bound `C: Clone` is not satisfied
