path	decl_name	classification	residual_reason	all_reasons	text_bytes
dag/extdeps/exec/exec_arg_limit.dag	host_exec_arg_max_strlen_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt+NoFollowingSubject	1059
dag/extdeps/exec/xargs.dag	xargs_null_delimited_fidelity_note	SourceAnnotationDebt	AmbiguousSubject	AmbiguousSubject	1201
dag/extdeps/external_authority.dag	external_subject_symbolic_identity_note	ProgramData	HasSemanticConsumer	ContainsHistoricalReceipt+HasSemanticConsumer	642
dag/extdeps/external_authority.dag	external_model_scope_revision_grain_note	ProgramData	HasSemanticConsumer	ContainsHistoricalReceipt+HasSemanticConsumer	608
dag/extdeps/external_authority.dag	external_model_scope_citations_shape_note	ProgramData	HasSemanticConsumer	ContainsLifecycleFact+HasSemanticConsumer	365
dag/extdeps/external_authority.dag	fact_citation_note	ProgramData	HasSemanticConsumer	ContainsHistoricalReceipt+HasSemanticConsumer	799
dag/extdeps/external_authority.dag	external_model_scope_decision_kernel_note	ProgramData	HasSemanticConsumer	AmbiguousSubject+ContainsHistoricalReceipt+HasSemanticConsumer	1217
dag/extdeps/external_authority.dag	declared_scope_facts_note	ProgramData	HasSemanticConsumer	HasSemanticConsumer	355
dag/extdeps/external_authority.dag	downstream_support_roster_note	ProgramData	HasSemanticConsumer	HasSemanticConsumer	391
dag/extdeps/filesystem/linux.dag	linux_file_publication_semantics_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt+NoFollowingSubject	669
dag/extdeps/git/git.dag	advertised_ref_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	976
dag/extdeps/git/git.dag	advertised_ref_scan_note	TypedOperationalFact	ContainsLifecycleFact	AmbiguousSubject+ContainsLifecycleFact	539
dag/extdeps/git/git.dag	ls_remote_reports_termination_not_success_note	ProgramData	HasSemanticConsumer	AmbiguousSubject+ContainsLifecycleFact+HasSemanticConsumer	1563
dag/extdeps/git/git.dag	remote_url_takes_its_repository_as_a_parameter_note	ProgramData	HasSemanticConsumer	AmbiguousSubject+HasSemanticConsumer	1426
dag/extdeps/git/git.dag	ls_remote_carries_no_exit_block_note	ProgramData	HasSemanticConsumer	ContainsHistoricalReceipt+HasSemanticConsumer	1675
dag/extdeps/git/git.dag	git_pathspec_exclude_note	ProgramData	HasSemanticConsumer	HasSemanticConsumer	1560
dag/extdeps/git/git.dag	integration_write_operations_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1395
dag/extdeps/git/inspect.dag	git_inspect_service_note	TypedOperationalFact	ContainsLifecycleFact	ActivePrOverlap+ContainsLifecycleFact	421
dag/extdeps/git/object_store.dag	git_object_id_text_note	ProgramData	HasSemanticConsumer	HasSemanticConsumer+NoFollowingSubject+RequiresSentenceSplit	546
dag/extdeps/git/object_store.dag	git_object_id_eq_note	SourceAnnotationDebt	AmbiguousSubject	AmbiguousSubject	335
dag/extdeps/git/object_store.dag	git_object_id_untagged_hex_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	818
dag/extdeps/git/object_store.dag	git_sha1_oid_deleted_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	325
dag/extdeps/github/actions.dag	github_ci_event_surface_note	ProgramData	HasSemanticConsumer	ContainsHistoricalReceipt+HasSemanticConsumer	758
dag/extdeps/github/actions.dag	github_event_path_home_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	925
dag/extdeps/github/actions.dag	workflow_run_trigger_citation_note	TypedOperationalFact	ContainsHistoricalReceipt	AmbiguousSubject+ContainsHistoricalReceipt	1435
dag/extdeps/github/actions.dag	merge_group_event_citation_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	636
dag/extdeps/github/actions.dag	action_ref_double_bound_finding_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	2359
dag/extdeps/github/actions_environment.dag	actions_environment_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1696
dag/extdeps/github/expressions.dag	expression_operator_extension_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt+NoFollowingSubject	2996
dag/extdeps/github/github.dag	repository_remote_url_note	ProgramData	HasSemanticConsumer	ContainsHistoricalReceipt+HasSemanticConsumer	1008
dag/extdeps/github/hosted_runners.dag	github_hosted_runner_catalog_citation_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1156
dag/extdeps/github/issues.dag	issues_module_homing_note	TypedOperationalFact	ContainsHistoricalReceipt	ActivePrOverlap+AmbiguousSubject+ContainsHistoricalReceipt	1520
dag/extdeps/github/issues.dag	issue_state_note	SourceAnnotationDebt	ActivePrOverlap	ActivePrOverlap	649
dag/extdeps/github/issues.dag	issue_state_read_note	TypedOperationalFact	ContainsHistoricalReceipt	ActivePrOverlap+ContainsHistoricalReceipt	1049
dag/extdeps/github/issues.dag	issues_list_comments_absent_note	SourceAnnotationDebt	ActivePrOverlap	ActivePrOverlap	1086
dag/extdeps/github/pulls.dag	pull_timing_observation_provenance_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	570
dag/extdeps/github/pulls.dag	github_cli_exact_head_merge_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	517
dag/extdeps/github/push_event.dag	push_event_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	294
dag/extdeps/github/workflow_run_event.dag	workflow_run_event_surface_note	SourceAnnotationDebt	AmbiguousSubject	ActivePrOverlap+AmbiguousSubject	1113
dag/extdeps/github/workflow_run_event.dag	workflow_run_event_run_id_carrier_note	TypedOperationalFact	ContainsHistoricalReceipt	ActivePrOverlap+ContainsHistoricalReceipt	1026
dag/extdeps/github/workflow_run_event.dag	workflow_run_event_number_as_text_note	TypedOperationalFact	ContainsLifecycleFact	ActivePrOverlap+ContainsLifecycleFact	565
dag/extdeps/github/workflow_run_event.dag	workflow_run_event_conclusion_required_note	TypedOperationalFact	ContainsLifecycleFact	ActivePrOverlap+AmbiguousSubject+ContainsLifecycleFact	983
dag/extdeps/github/workflow_run_event.dag	workflow_run_event_total_decode_note	SourceAnnotationDebt	ActivePrOverlap	ActivePrOverlap	751
dag/extdeps/github/workflows.dag	create_dispatch_version_fidelity_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	569
dag/extdeps/github/workflows.dag	create_dispatch_retry_policy_note	SourceAnnotationDebt	NoFollowingSubject	NoFollowingSubject	459
dag/extdeps/http/client.dag	http_client_handler_layering_note	ProgramData	HasSemanticConsumer	ContainsLifecycleFact+HasSemanticConsumer	709
dag/extdeps/http/server.dag	media_type_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact	1078
dag/extdeps/instrument/pip_boy_3000.dag	manufacturer_edge_note	ProgramData	HasSemanticConsumer	ContainsHistoricalReceipt+HasSemanticConsumer	674
dag/extdeps/instrument/pip_boy_3000.dag	subject_separation_note	ProgramData	HasSemanticConsumer	AmbiguousSubject+HasSemanticConsumer	756
dag/extdeps/instrument/pip_boy_3000.dag	manual_read_path_note	ProgramData	HasSemanticConsumer	AmbiguousSubject+ContainsHistoricalReceipt+HasSemanticConsumer	402
dag/extdeps/instrument/pip_boy_3000.dag	compliance_block_names_the_mk_v_note	ProgramData	HasSemanticConsumer	HasSemanticConsumer	822
dag/extdeps/instrument/pip_boy_3000.dag	settings_roster_closure_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact	353
dag/extdeps/instrument/pip_boy_3000.dag	motion_feature_note	SourceAnnotationDebt	AmbiguousSubject	AmbiguousSubject	432
dag/extdeps/instrument/pip_boy_3000.dag	retail_listing_shape_note	ProgramData	HasSemanticConsumer	ContainsLifecycleFact+HasSemanticConsumer	689
dag/extdeps/instrument/pip_boy_3000.dag	licensing_statement_grain_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact+NoFollowingSubject	555
dag/extdeps/instrument/pip_boy_3000_mk_v.dag	manufacturer_edge_note	ProgramData	HasSemanticConsumer	ContainsHistoricalReceipt+HasSemanticConsumer	674
dag/extdeps/instrument/pip_boy_3000_mk_v.dag	subject_separation_note	ProgramData	HasSemanticConsumer	AmbiguousSubject+HasSemanticConsumer	358
dag/extdeps/instrument/pip_boy_3000_mk_v.dag	manual_read_path_note	ProgramData	HasSemanticConsumer	ContainsHistoricalReceipt+HasSemanticConsumer	628
dag/extdeps/instrument/pip_boy_3000_mk_v.dag	variant_identifiers_must_be_corpus_unique_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1395
dag/extdeps/instrument/pip_boy_3000_mk_v.dag	capability_roster_grain_note	SourceAnnotationDebt	AmbiguousSubject	AmbiguousSubject	496
dag/extdeps/instrument/pip_boy_3000_mk_v.dag	retail_listing_shape_note	ProgramData	HasSemanticConsumer	ContainsLifecycleFact+HasSemanticConsumer+NoFollowingSubject	149
dag/extdeps/jobserver.dag	jobserver_config_citation_note	TypedOperationalFact	ContainsHistoricalReceipt	ActivePrOverlap+ContainsHistoricalReceipt	1722
dag/extdeps/languages/bash/subject.dag	bash_subject_note	DocumentPayload	PayloadOrFixture	AmbiguousSubject+ContainsHistoricalReceipt+PayloadOrFixture	1134
dag/extdeps/languages/bash/subject.dag	bash_implementation_versus_specification_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+HasSemanticConsumer+PayloadOrFixture	1578
dag/extdeps/languages/bash/subject.dag	scope_alias_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	676
dag/extdeps/languages/c/subject.dag	c_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	741
dag/extdeps/languages/cpp/subject.dag	cpp_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	771
dag/extdeps/languages/css/properties.dag	css_property_note	DocumentPayload	PayloadOrFixture	ContainsLifecycleFact+PayloadOrFixture	1090
dag/extdeps/languages/css/selectors.dag	css_selector_note	DocumentPayload	PayloadOrFixture	ContainsLifecycleFact+PayloadOrFixture	1105
dag/extdeps/languages/css/subject.dag	css_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	791
dag/extdeps/languages/css/values.dag	css_length_note	DocumentPayload	PayloadOrFixture	PayloadOrFixture	799
dag/extdeps/languages/css/values.dag	css_font_family_note	DocumentPayload	PayloadOrFixture	PayloadOrFixture	416
dag/extdeps/languages/ecmascript/subject.dag	ecmascript_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	912
dag/extdeps/languages/go/subject.dag	go_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	586
dag/extdeps/languages/html.dag	html5_raw_text_tags_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	735
dag/extdeps/languages/html/subject.dag	html_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	635
dag/extdeps/languages/java/subject.dag	java_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	704
dag/extdeps/languages/json/emit.dag	json_object_prefix_note	DocumentPayload	PayloadOrFixture	PayloadOrFixture	571
dag/extdeps/languages/json/grammar.dag	json_escape_production_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+HasSemanticConsumer+PayloadOrFixture	1646
dag/extdeps/languages/json/grammar.dag	json_text_exponent_digit_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	825
dag/extdeps/languages/json/grammar.dag	json_text_whole_document_reading_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+NoFollowingSubject+PayloadOrFixture	1382
dag/extdeps/languages/json/parse.dag	json_parse_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	1894
dag/extdeps/languages/json/parse.dag	json_exhaustive_match_note	DocumentPayload	PayloadOrFixture	ContainsLifecycleFact+PayloadOrFixture	797
dag/extdeps/languages/json/parse.dag	json_member_lookup_note	DocumentPayload	PayloadOrFixture	PayloadOrFixture	796
dag/extdeps/languages/json/parse.dag	json_trailing_comma_note	DocumentPayload	PayloadOrFixture	PayloadOrFixture	714
dag/extdeps/languages/json/parse.dag	json_text_parseable_derivation_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	887
dag/extdeps/languages/json/subject.dag	json_format_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	662
dag/extdeps/languages/jsx/subject.dag	jsx_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	891
dag/extdeps/languages/kotlin/subject.dag	kotlin_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	790
dag/extdeps/languages/lean/overflow.dag	lean_fixed_width_overflow_provenance_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	467
dag/extdeps/languages/lean/subject.dag	lean_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	755
dag/extdeps/languages/llvm_ir/subject.dag	llvm_ir_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	767
dag/extdeps/languages/markdown/subject.dag	commonmark_format_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	880
dag/extdeps/languages/ptx/subject.dag	ptx_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	711
dag/extdeps/languages/python/subject.dag	python_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	1674
dag/extdeps/languages/react_jsx.dag	react_jsx_keep_mark_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	649
dag/extdeps/languages/riscv/subject.dag	riscv_isa_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	1081
dag/extdeps/languages/rust/emit.dag	rust_pair_completion_spelling_note	DocumentPayload	PayloadOrFixture	HasSemanticConsumer+PayloadOrFixture	342
dag/extdeps/languages/rust/emit.dag	rust_pair_completion_op_key_totality_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+HasSemanticConsumer+PayloadOrFixture	1569
dag/extdeps/languages/rust/subject.dag	rust_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	1792
dag/extdeps/languages/spice/subject.dag	spice_netlist_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	2982
dag/extdeps/languages/swift/subject.dag	swift_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	670
dag/extdeps/languages/typescript/program.dag	ts_new_note	DocumentPayload	PayloadOrFixture	ActivePrOverlap+PayloadOrFixture+RequiresSentenceSplit	836
dag/extdeps/languages/typescript/program.dag	ts_operator_precedence_note	DocumentPayload	PayloadOrFixture	ActivePrOverlap+ContainsHistoricalReceipt+HasSemanticConsumer+PayloadOrFixture	3932
dag/extdeps/languages/typescript/program.dag	atom_operand_never_grouped_note	DocumentPayload	PayloadOrFixture	ActivePrOverlap+HasSemanticConsumer+PayloadOrFixture	758
dag/extdeps/languages/typescript/program.dag	receiver_grouping_note	DocumentPayload	PayloadOrFixture	ActivePrOverlap+PayloadOrFixture	668
dag/extdeps/languages/typescript/subject.dag	typescript_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	929
dag/extdeps/languages/verilog/subject.dag	verilog_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	1033
dag/extdeps/languages/wasm/subject.dag	webassembly_language_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	572
dag/extdeps/languages/yaml/gha_workflow.dag	workflow_dispatch_input_projection_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	471
dag/extdeps/languages/yaml/gha_workflow.dag	concurrency_queue_max_emission_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	1123
dag/extdeps/languages/yaml/gha_workflow.dag	job_field_projection_completeness_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+HasSemanticConsumer+PayloadOrFixture	2118
dag/extdeps/languages/yaml/subject.dag	yaml_format_subject_note	DocumentPayload	PayloadOrFixture	ContainsHistoricalReceipt+PayloadOrFixture	622
dag/extdeps/linux/rusage.dag	linux_maxrss_unit_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	699
dag/extdeps/llm/cli.dag	codex_cli_program_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	476
dag/extdeps/llm/cli.dag	claude_workspace_trust_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1700
dag/extdeps/llm/cli.dag	reasoning_effort_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1054
dag/extdeps/llm/cli.dag	codex_device_login_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1200
dag/extdeps/llm/cli.dag	codex_device_prompt_input_contract_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1598
dag/extdeps/llm/cli.dag	codex_device_code_scan_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact	925
dag/extdeps/llm/cli_lifecycle.dag	cli_lifecycle_fact_separation_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact+NoFollowingSubject	662
dag/extdeps/llm/codex_auth.dag	codex_auth_file_note	TypedOperationalFact	ContainsHistoricalReceipt	AmbiguousSubject+ContainsHistoricalReceipt	1317
dag/extdeps/llm/codex_auth.dag	codex_token_durability_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1162
dag/extdeps/llm/codex_auth.dag	codex_state_root_isolation_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	867
dag/extdeps/llm/codex_auth.dag	codex_refresh_persistence_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1512
dag/extdeps/llm/codex_auth.dag	codex_refresh_rotation_note	ProgramData	HasSemanticConsumer	ContainsLifecycleFact+HasSemanticConsumer	1118
dag/extdeps/llm/codex_auth.dag	codex_id_token_lifetime_carrier_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	419
dag/extdeps/llm/codex_auth.dag	codex_observed_profile_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1546
dag/extdeps/llm/codex_auth.dag	codex_auth_parse_boundary_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact+NoFollowingSubject	1037
dag/extdeps/llm/cursor_cli.dag	cursor_cli_program_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	366
dag/extdeps/llm/cursor_cli.dag	cursor_account_isolation_note	SourceAnnotationDebt	AmbiguousSubject	AmbiguousSubject	1047
dag/extdeps/llm/cursor_cli.dag	cursor_execution_mode_note	TypedOperationalFact	ContainsLifecycleFact	ContainsLifecycleFact	777
dag/extdeps/llm/cursor_cli.dag	cursor_model_selection_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1007
dag/extdeps/llm/cursor_cli.dag	cursor_invocation_carries_environment_note	TypedOperationalFact	ContainsHistoricalReceipt	ContainsHistoricalReceipt	1393
