rank	in_floor_wall_ms	entry	function	cause_class	censored_band
59	503.7	test.claim.live_deploy.readiness	witness_transport_get_probe_over_ssh_does_not_ground_mock_stdout	live_deploy_script_emit	yes
60	503.7	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_emit_source_arm_shape_holds	emit_host_execution_witness	yes
61	503.7	v2.test.execution.emit_host_produced_module_equals_eval	emit_host_produced_module_add_equals_eval_holds	emit_host_execution_witness	yes
62	503.6	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_canonical_emit_refuses_underived_holds	emit_host_execution_witness	yes
63	503.5	test.claim.live_deploy.apply	witness_digest_readback_script_is_bounded_and_post_mutation	live_deploy_script_emit	yes
64	503.5	gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_type_only_module_dissolution_refuses_RED	pollable_marginal_other	yes
65	503.5	v2.test.lens_testgen.generator_provenance	lens_testgen_scheduled_generators_carry_provenance_holds	pollable_marginal_other	yes
66	503.5	v2.test.claim.body_lowering.atom_body_discriminator_witness	atom_body_discriminator_single_pass_receipt_holds	pollable_marginal_other	yes
67	503.5	v2.test.claim.identity_captured_navigation.roster_gate	unrelated_caret_literal_call_not_flagged	repeated_prepare_grammar_lens_scan	yes
68	503.4	test.claim.roadmap_tactile_witness	witness_sound_toggle_label_is_painted_by_the_program_not_the_markup	roadmap_page_html_emit	yes
69	503.4	v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_source_pipeline_admits_add_holds	emit_host_execution_witness	yes
70	503.3	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_zero_param_refuses_RED	dag_arrow_lambda_emit_fold	yes
71	503.2	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_match_arm_fat_arrow_unchanged	dag_arrow_lambda_emit_fold	yes
72	503.2	gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_header_only_module_still_accepts	pollable_marginal_other	yes
73	503.2	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_resolves_holds	emit_host_execution_witness	yes
74	503.2	v2.test.execution.emit_host_classical_not_ingested_equals_eval	emit_host_classical_not_ingested_equals_eval_holds	emit_host_execution_witness	yes
75	503.2	v2.test.execution.pick_ingested_structural_lowering	pick_ingested_normalized_arrow_has_branch_body_holds	emit_host_execution_witness	yes
76	503.1	test.claim.altra_contact_map_witness	w_classified_population_cross_foots_pin_summary	pollable_marginal_other	yes
77	503.1	test.claim.roadmap_static_site_witness	witness_artifact_digests_are_content_hashes	roadmap_page_html_emit	yes
78	503.1	test.claim.roadmap_static_site_witness	witness_text_routes_include_health_and_artifacts	roadmap_page_html_emit	yes
79	503.1	v2.test.lens_testgen.shadow_ci_receipt	lens_testgen_shadow_ci_run_receipt_holds	pollable_marginal_other	yes
80	503.1	v2.test.execution.emit_host_native_only_verdict	emit_host_native_only_classical_not_swapped_mismatch_detected_holds	emit_host_execution_witness	yes
81	503.0	test.claim.roadmap_site_surface_readiness	witness_roadmap_site_surface_readiness_materialized_batch_holds	roadmap_page_html_emit	yes
82	503.0	v2.test.claim.identity_captured_navigation.roster_gate	roster_accumulator_copy_analyze_zero_suspects_within_ratchet	repeated_prepare_grammar_lens_scan	yes
83	502.9	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_lambda_block_body_parses	dag_arrow_lambda_emit_fold	yes
84	502.9	test.claim.live_deploy.readiness	witness_bounded_poll_early_exit_on_grounded_read	live_deploy_script_emit	yes
85	502.9	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_eval_subgraph_canonical_octet_zero_holds	emit_host_execution_witness	yes
86	502.8	v2.test.execution.emit_host_native_only_verdict	emit_host_native_only_classical_not_holds	emit_host_execution_witness	yes
87	502.8	v2.test.execution.pick_ingested_structural_lowering	pick2_ingested_swapped_arms_red_holds	emit_host_execution_witness	yes
88	502.8	v2.test.claim.identity_captured_navigation.roster_gate	red_control_planted_identity_escape_still_alarms	repeated_prepare_grammar_lens_scan	yes
89	502.7	test.claim.live_deploy.readiness	witness_ssh_mock_stdout_is_discriminating_red	live_deploy_script_emit	yes
90	502.7	test.claim.live_deploy.running_release_identity_witness_test	witness_body_without_release_identity_refuses	live_deploy_script_emit	yes
91	502.7	test.claim.live_deploy.running_release_identity_witness_test	witness_correct_artifacts_with_wrong_bundle_identity_refuses	live_deploy_script_emit	yes
92	502.7	test.claim.live_deploy.running_release_identity_witness_test	witness_surface_projection_ignores_identity_members	live_deploy_script_emit	yes
93	502.7	test.claim.roadmap_static_site_witness	witness_static_site_route_authority_paths_locked	roadmap_page_html_emit	yes
94	502.7	v2.test.claim.identity_captured_navigation.roster_gate	roster_body_lowering_fold_zero_suspects_within_ratchet	repeated_prepare_grammar_lens_scan	yes
95	502.6	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_single_param_lambda_parses	dag_arrow_lambda_emit_fold	yes
96	502.6	test.claim.live_deploy.running_release_identity_witness_test	witness_correct_identity_with_one_stale_artifact_refuses	live_deploy_script_emit	yes
97	502.6	v2.test.execution.emit_host_produced_module_equals_eval	emit_host_produced_module_wrong_oracle_refuses_holds	emit_host_execution_witness	yes
98	502.5	test.claim.live_deploy.emit	retract_is_not_emitted_without_an_observed_scoped_removal	live_deploy_script_emit	yes
99	502.5	test.claim.live_deploy.running_release_identity_witness_test	witness_identity_round_trips_from_served_body	live_deploy_script_emit	yes
100	502.5	test.claim.roadmap_page_witness	witness_status_chip_min_width	roadmap_page_html_emit	yes
101	502.5	v2.test.execution.bind_eval_by_execution	bind_census_ingested_executes_holds	emit_host_execution_witness	yes
102	502.5	v2.test.execution.pick_ingested_structural_lowering	pick_ingested_pick_true_executes_holds	emit_host_execution_witness	yes
103	502.4	test.claim.altra_contact_map_witness	w_ingested_contact_map_admits_at_declared_population	pollable_marginal_other	yes
104	502.4	test.claim.altra_contact_map_witness	w_differential_pairs_are_complete_in_the_ingested_map	pollable_marginal_other	yes
105	502.4	test.claim.live_deploy.running_release_identity_witness_test	witness_readiness_refuses_when_reported_revision_is_not_the_admitted_one	live_deploy_script_emit	yes
106	502.3	test.claim.roadmap_frontier_witness	witness_authority_daily_workspace_serializes	roadmap_page_html_emit	yes
107	502.3	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_staging_swapped_emit_refuses_underived_holds	emit_host_execution_witness	yes
108	502.2	gunbc.test.claim.realization_sweep_test	witness_sweep_rows_join_planted_roster_exactly_once	pollable_marginal_other	yes
109	502.2	test.claim.roadmap_authority	witness_ghost_node_outside_authority_is_counted	roadmap_page_html_emit	yes
110	502.2	test.claim.roadmap_page_witness	witness_authority_differs_from_empty	roadmap_page_html_emit	yes
111	502.2	v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_parse_holds	emit_host_execution_witness	yes
112	502.2	v2.test.execution.bind_eval_by_execution	bind_census_ingested_wrong_value_red_holds	emit_host_execution_witness	yes
113	502.2	v2.test.execution.emit_host_produced_module_equals_eval	produced_module_two_distinct_fns_assemble	emit_host_execution_witness	yes
114	502.2	v2.test.execution.pick_ingested_probe	pick_probe_resolved_then_arm_has_magnitude_child_holds	emit_host_execution_witness	yes
115	502.1	test.claim.roadmap_page_witness	witness_page_containers_centered	roadmap_page_html_emit	yes
116	502.0	test.claim.roadmap_page_witness	witness_dispatch_button_carries_accent	roadmap_page_html_emit	yes
117	502.0	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_arrow_has_match_holds	emit_host_execution_witness	yes
118	502.0	v2.test.execution.pick_ingested_probe	pick_probe_eval_equals_holds	emit_host_execution_witness	yes
119	502.0	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_scaffold_row_is_deleted_holds	ci_heal_bash_script_emission	yes
120	501.9	test.claim.live_deploy.running_release_identity_witness_test	witness_absent_identity_is_typed_absent_not_unparseable	live_deploy_script_emit	yes
121	501.9	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_real_infer_holds	emit_host_execution_witness	yes
122	501.8	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_named_arg_unchanged	dag_arrow_lambda_emit_fold	yes
123	501.8	test.claim.live_deploy.readiness	witness_accept_no_response_probe_fails_fast_not_hangs	live_deploy_script_emit	yes
124	501.8	test.claim.roadmap_authority	witness_projection_is_active_only	roadmap_page_html_emit	yes
125	501.8	v2.test.execution.pick_ingested_structural_lowering	pick_ingested_pipeline_resolves_holds	emit_host_execution_witness	yes
126	501.8	v2.test.claim.identity_captured_navigation.roster_gate	green_control_sanctioned_reader_body_has_no_findings_at_all	repeated_prepare_grammar_lens_scan	yes
127	501.7	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_authored_algebra_shape_parses	dag_arrow_lambda_emit_fold	yes
128	501.7	test.claim.roadmap_authority	witness_rendered_nodes_are_declared_or_derived	roadmap_page_html_emit	yes
129	501.7	test.claim.roadmap_page_witness	witness_authority_shows_finish_line_progress	roadmap_page_html_emit	yes
130	501.6	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_single_paren_param_refuses_RED	dag_arrow_lambda_emit_fold	yes
131	501.6	test.claim.roadmap_page_witness	witness_ticket_rows_render_structured	roadmap_page_html_emit	yes
132	501.6	test.claim.roadmap_row_witness	roadmap_row_page_carries_the_cells	roadmap_page_html_emit	yes
133	501.6	v2.test.execution.pick_ingested_probe	pick_probe_resolved_else_arm_has_magnitude_child_holds	emit_host_execution_witness	yes
134	501.5	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_missing_param_refuses_RED	dag_arrow_lambda_emit_fold	yes
135	501.5	test.claim.roadmap_page_witness	witness_item_detail_disclosure_present	roadmap_page_html_emit	yes
136	501.5	test.claim.stage0_rust_honest_frontier_integration_witness	honest_frontier_integration_joins_c1_and_c2	pollable_marginal_other	yes
137	501.4	test.claim.live_deploy.readiness	witness_bounded_poll_one_iteration_composes_probe_and_modeled_sleep	live_deploy_script_emit	yes
138	501.4	test.claim.roadmap_page_witness	witness_style_child_combinator_unescaped	roadmap_page_html_emit	yes
139	501.4	v2.test.execution.emit_host_classical_not_ingested_equals_eval	emit_host_classical_not_ingested_swapped_refuses_holds	emit_host_execution_witness	yes
140	501.4	v2.test.execution.loop_eval_by_execution	loop_census_ingested_executes_holds	emit_host_execution_witness	yes
141	501.4	v2.test.execution.pick_ingested_structural_lowering	pick_ingested_pick_false_executes_holds	emit_host_execution_witness	yes
142	501.4	v2.test.claim.rust_crate_partition_witness	witness_partition_r4_valid_on_interim_holds	pollable_marginal_other	yes
143	501.3	test.claim.live_deploy.running_release_identity_witness_test	witness_third_candidate_still_sees_launched_revision	live_deploy_script_emit	yes
144	501.3	v2.test.execution.loop_eval_by_execution	loop_census_ingested_wrong_value_red_holds	emit_host_execution_witness	yes
145	501.2	test.claim.roadmap_authority	witness_altered_copy_of_declared_node_is_counted	roadmap_page_html_emit	yes
146	501.2	test.claim.roadmap_page_witness	witness_authority_page_preserves_multi_parent_dependencies	roadmap_page_html_emit	yes
147	501.2	test.claim.roadmap_static_site_witness	witness_healthz_route_json_ok	roadmap_page_html_emit	yes
148	501.2	v2.test.execution.pick_ingested_probe	pick_probe_normalized_branch_holds	emit_host_execution_witness	yes
149	501.2	v2.test.execution.pick_ingested_probe	pick_probe_parsed_then_arm_has_magnitude_child_holds	emit_host_execution_witness	yes
150	501.1	v2.test.execution.pick_ingested_structural_lowering	pick_ingested_normalized_swapped_arms_structural_red_holds	emit_host_execution_witness	yes
