rank	in_floor_wall_ms	entry	function	cause_class	censored_band
21	2759.2	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_two_unrelated_scaffold_arms_do_not_alias	decl_facts_reflection_scan	no
22	2754.3	test.claim.decl_facts_reflection_witness_test	w_named_field_declaration_ref_surfaces	decl_facts_reflection_scan	no
23	2752.3	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_disposition_scaffold_constructor_is_std_disposition	decl_facts_reflection_scan	no
24	2751.6	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_unimported_globally_unique_refuses_constructor_resolution	decl_facts_reflection_scan	no
25	2746.3	test.claim.decl_facts_reflection_witness_test	w_nullary_variant_value_absent_without_infer_stamping_top_level	decl_facts_reflection_scan	no
26	2745.6	test.claim.decl_facts_reflection_witness_test	w_declaration_ref_bind_fields_surface_in_scaffold_specimen	decl_facts_reflection_scan	no
27	2744.4	test.claim.decl_facts_reflection_witness_test	w_nullary_variant_value_absent_without_infer_stamping_nested	decl_facts_reflection_scan	no
28	2744.3	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_refused_vs_not_variant_value_projections_distinct	decl_facts_reflection_scan	no
29	2740.7	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_nullary_mechanism_projection_shape	decl_facts_reflection_scan	no
30	2734.8	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_terminal_vs_scaffold_constructors_distinct	decl_facts_reflection_scan	no
31	2728.8	test.claim.decl_facts_reflection_witness_test	w_fn_body_local_bindings_do_not_gain_constructor_lexemes	decl_facts_reflection_scan	no
32	2716.9	test.claim.decl_facts_reflection_witness_test	w_outer_record_constructor_terminal_lexeme_surfaces	decl_facts_reflection_scan	no
33	2716.3	test.claim.decl_facts_initializer_projection_witness_test	decl_fact_lookup_duplicate_qualified_identity_returns_ambiguous_both_candidates	decl_facts_reflection_scan	no
34	2704.8	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_closure_b_specimen_resolves_to_b_parent	decl_facts_reflection_scan	no
35	2694.3	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_scaffold_dissolves_to_resolves_single_authority	decl_facts_reflection_scan	no
36	2690.3	test.claim.decl_facts_initializer_projection_witness_test	decl_facts_reflection_single_authority_vs_realization_dispatch_distinct	decl_facts_reflection_scan	no
37	2541.9	v2.test.claim.live_read_classification_test	g2_roster_gate_entry_classifies_literal_paths	live_read_g2_classification	no
38	2471.2	test.claim.decl_facts_reflection_witness_test	w_fixture_pool_decl_facts_nonempty	decl_facts_reflection_scan	no
39	2172.7	v2.test.claim.live_read_classification_test	g2_roster_gate_literal_path_touched_selects	live_read_g2_classification	no
40	2170.1	v2.test.claim.live_read_classification_test	g2_implies_reads_live_tree_for_roster_gate	live_read_g2_classification	no
41	2127.6	v2.test.claim.effect_reach_test	effect_reach_path_touch_selects_on_normalize_path_holds	pollable_marginal_other	no
42	2125.0	v2.test.claim.effect_reach_test	effect_reach_unrelated_path_does_not_select_holds	pollable_marginal_other	no
43	2123.8	v2.test.claim.effect_reach_test	effect_reach_path_data_init_red_when_import_severed_holds	pollable_marginal_other	no
44	2102.9	v2.test.claim.effect_reach_test	effect_reach_hermetic_fixture_stays_local_holds	pollable_marginal_other	no
45	2099.7	v2.test.claim.effect_reach_test	effect_reach_concat_built_path_frontier_not_classified_holds	pollable_marginal_other	no
46	2095.7	v2.test.claim.effect_reach_test	effect_reach_prose_string_path_does_not_classify_holds	pollable_marginal_other	no
47	2082.7	v2.test.claim.effect_reach_test	effect_reach_live_03_normalize_witness_derived_host_reading_holds	pollable_marginal_other	no
48	2082.1	test.claim.where_refinement_enforcement_witness	where_refinement_cast_literal_oci_other_digest_algorithm_accepts	compile_dag_rust_emit_check_mini_compile	no
49	1616.5	test.claim.transport_script_wall_compile_red	wall_red_string_join_into_retained_record_refuses	pollable_marginal_other	no
50	1524.2	test.claim.transport_script_wall_compile_red	wall_red_deleted_free_minter_refuses	pollable_marginal_other	no
51	1316.0	test.claim.occurrence_identity_witness_test	occurrence_identity_typed_ordinal_boundary_refuses_raw_scalar_holds	pollable_marginal_other	no
52	1148.1	v2.test.lens_inert_carrier.inert_carrier_test	inert_carrier_no_unrostered_or_stale	pollable_marginal_other	no
53	1074.9	test.claim.root4_measure_missing_generics_witness	root4_measure_missing_generics_witness_holds	pollable_marginal_other	no
54	1036.7	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	nested_generic_contract_round_trip_preserves_keyed_authority	rust_target_model_construction	no
55	865.9	test.claim.where_refinement_enforcement_witness	where_refinement_cast_literal_lower_hex_16_accepts	compile_dag_rust_emit_check_mini_compile	no
56	849.1	test.claim.where_refinement_enforcement_witness	where_refinement_cast_literal_lower_hex_64_accepts	compile_dag_rust_emit_check_mini_compile	no
57	835.5	test.claim.where_refinement_enforcement_witness	where_refinement_cast_literal_lower_hex_40_accepts	compile_dag_rust_emit_check_mini_compile	no
58	827.3	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_set_target_bundle_round_trip_preserves_both_production_policies	rust_target_model_construction	no
59	822.9	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_hash_set_unrepresentable_hash_contracts_refuse_with_typed_blockers	rust_target_model_construction	no
60	811.4	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_hash_set_serialize_contract_is_known_zero_after_bundle_decode	rust_target_model_construction	no
61	810.9	test.claim.dissolution_census_witness_test	unbound_dissolution_nonempty_literal_accepts	pollable_marginal_other	no
62	807.9	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_vec_clone_contract_remains_explicit_empty_from_im_vector_authority	rust_target_model_construction	no
63	806.8	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_vec_deserialize_contract_requires_clone_from_im_vector_authority	rust_target_model_construction	no
64	806.2	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_vec_partial_eq_contract_requires_clone_from_im_vector_authority	rust_target_model_construction	no
65	801.4	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_vec_debug_contract_requires_clone_from_im_vector_authority	rust_target_model_construction	no
66	799.5	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_vec_target_bundle_round_trip_preserves_im_vector_policy	rust_target_model_construction	no
67	797.8	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_vec_serialize_contract_requires_clone_from_im_vector_authority	rust_target_model_construction	no
68	776.9	test.claim.emitter_optional_payload_cast_witness_test	user_defined_present_inside_optional_returning_fn_is_unaffected	pollable_marginal_other	no
69	770.2	test.claim.emitter_nested_refinement_cast_witness_test	single_refinement_carrier_emits_no_unsupported_cast	pollable_marginal_other	no
70	768.1	test.claim.structured_application_mismatch_wall_witness	structured_single_authority_at_mechanism_field_accepts	pollable_marginal_other	no
71	758.4	test.claim.e0308_mechanical_trio_test	red_string_length_unborrowed_arg_is_absent	pollable_marginal_other	no
72	758.1	test.claim.e0308_mechanical_trio_test	red_planted_optional_return_refuses_unit_witness	pollable_marginal_other	no
73	755.5	test.claim.emitter_nested_refinement_cast_witness_test	nested_refinement_carrier_deficit_remains_observable	pollable_marginal_other	no
74	755.2	test.claim.e0308_mechanical_trio_test	red_skip_first_option_cloned_tail_is_absent	pollable_marginal_other	no
75	752.3	test.claim.e0308_mechanical_trio_test	red_list_slice_bare_integer_range_is_absent	pollable_marginal_other	no
76	747.0	test.claim.emitter_optional_payload_cast_witness_test	hoisted_cast_lowers_to_some	pollable_marginal_other	no
77	746.6	test.claim.e0308_mechanical_trio_test	string_length_call_borrows_string_arg	pollable_marginal_other	no
78	739.3	test.claim.e0308_mechanical_trio_test	list_slice_emits_usize_range_bounds	pollable_marginal_other	no
79	738.4	test.claim.e0308_mechanical_trio_test	unit_return_discards_optional_tail	pollable_marginal_other	no
80	737.1	test.claim.e0308_mechanical_trio_test	skip_first_emits_iter_skip_next	pollable_marginal_other	no
81	733.1	test.claim.emitter_optional_payload_cast_witness_test	optional_payload_cast_lowers_to_some	pollable_marginal_other	no
82	731.3	test.claim.emitter_optional_payload_cast_witness_test	refined_return_without_cast_lowers_to_some	pollable_marginal_other	no
83	725.7	test.claim.e0308_mechanical_trio_test	red_skip_first_direct_index_is_absent	pollable_marginal_other	no
84	719.7	test.claim.emitter_optional_payload_cast_witness_test	plain_return_with_cast_lowers_to_some	pollable_marginal_other	no
85	716.4	test.claim.where_refinement_enforcement_witness	where_refinement_non_empty_string_literal_accepts	compile_dag_rust_emit_check_mini_compile	no
86	716.1	test.claim.emitted_lib_rs_module_declaration_witness_test	partial_crate_declares_macro_provider_before_ordinary_modules	pollable_marginal_other	no
87	714.4	test.claim.emitted_lib_rs_module_declaration_witness_test	small_crate_lib_rs_declares_its_own_emitted_module	pollable_marginal_other	no
88	713.1	test.claim.qualified_declaration_reference_emit_cross_module_witness	cross_module_qualified_reference_emits_call_from_correct_module	pollable_marginal_other	no
89	711.1	test.claim.emitted_lib_rs_module_declaration_witness_test	small_crate_lib_rs_omits_unemitted_dispatch_module	pollable_marginal_other	no
90	711.0	test.claim.emitter_optional_payload_cast_witness_test	user_enum_cast_payload_keeps_variant_name	pollable_marginal_other	no
91	710.2	test.claim.emitter_optional_payload_cast_witness_test	user_defined_present_variant_is_unaffected	pollable_marginal_other	no
92	707.9	test.claim.emitter_optional_present_branded_scalar_witness_test	present_branded_scalar_cast_emits_some_not_optional_string	pollable_marginal_other	no
93	699.4	v2.test.claim.compilation_unit_witness	declared_fields_only_is_the_accepted_control	pollable_marginal_other	no
94	693.8	test.claim.where_refinement_enforcement_witness	where_refinement_range_non_literal_compile_clean	compile_dag_rust_emit_check_mini_compile	no
95	688.6	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_btree_set_debug_contract_is_explicit_known_zero_from_std_authority	rust_target_model_construction	no
96	686.7	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_btree_set_serialize_contract_is_explicit_known_zero_from_serde_authority	rust_target_model_construction	no
97	685.8	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_btree_set_deserialize_contract_requires_ord_from_serde_authority	rust_target_model_construction	no
98	677.9	test.claim.where_refinement_enforcement_witness	where_refinement_cast_literal_oci_other_digest_algorithm_refuses	compile_dag_rust_emit_check_mini_compile	no
99	674.3	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	rust_vec_unmodeled_ord_contract_refuses_as_missing	rust_target_model_construction	no
100	667.8	v2.test.languages_consumer_census.corpus.data_decl_ratchet	corpus_data_decl_ratchet_holds	languages_filesystem_census	no
101	659.0	test.claim.qualified_leaf_registry_collision_emit_witness_test	cross_kind_fn_data_emits_fn_item_b_first	pollable_marginal_other	no
102	658.5	test.claim.optional_carrier_signature_test	optional_string_return_renders_option_signature	pollable_marginal_other	no
103	646.8	test.claim.qualified_leaf_registry_collision_emit_witness_test	cross_module_same_leaf_emits_qualifier_module_not_registry_winner	pollable_marginal_other	no
104	633.1	test.claim.pipeline_transport_emit_rest_shell_witness	rest_emit_uses_header_auth	pollable_marginal_other	no
105	630.6	test.claim.qualified_declaration_reference_emit_witness_test	same_module_qualified_reference_emits_call_not_fn_item	pollable_marginal_other	no
106	619.6	test.claim.pipeline_transport_emit_rest_shell_witness	rest_emit_post_with_auth_source	pollable_marginal_other	no
107	619.0	test.claim.optional_consumer_fail_closed_test	required_param_nonoptional_arg_stays_bare	pollable_marginal_other	no
108	612.4	test.claim.qualified_leaf_registry_collision_emit_witness_test	cross_kind_data_fn_emits_data_call_suffix_a_first	pollable_marginal_other	no
109	611.1	test.claim.qualified_leaf_registry_collision_emit_witness_test	cross_kind_fn_data_emits_fn_item_a_first	pollable_marginal_other	no
110	607.0	test.claim.optional_carrier_signature_test	optional_shared_type_return_renders_option_rc_signature	pollable_marginal_other	no
111	597.3	test.claim.qualified_leaf_registry_collision_emit_witness_test	cross_kind_data_fn_emits_data_call_suffix_b_first	pollable_marginal_other	no
112	595.1	test.claim.optional_consumer_fail_closed_test	required_param_optional_arg_emits_located_fail_closed_unwrap	pollable_marginal_other	no
113	592.0	test.claim.optional_carrier_signature_test	non_optional_string_return_stays_bare	pollable_marginal_other	no
114	591.9	test.claim.optional_carrier_signature_test	non_optional_shared_type_return_stays_bare_rc	pollable_marginal_other	no
115	587.4	test.claim.pipeline_transport_emit_rest_shell_witness	rest_emit_uses_bearer_auth	pollable_marginal_other	no
116	559.0	v2.test.fixture.walk_plan_stage.recursion_refusal_member	walk_plan_stage_recursion_refusal_member_holds	pollable_marginal_other	no
117	552.9	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract	malformed_unrelated_row_poison_refuses_valid_debug_decode	rust_target_model_construction	no
118	518.2	test.claim.where_refinement_enforcement_witness	where_refinement_record_field_literal_accepts	compile_dag_rust_emit_check_mini_compile	yes
119	518.0	v2.test.claim.identity_captured_navigation.roster_gate	roster_dag_language_model_zero_suspects_within_ratchet	repeated_prepare_grammar_lens_scan	yes
120	515.6	test.claim.record_literal_call_arg_handoff_witness	record_literal_container_element_mismatch_at_call_arg_still_refuses	pollable_marginal_other	yes
121	511.4	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_has_no_shell_loop_or_case_holds	ci_heal_bash_script_emission	yes
122	511.1	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_excludes_every_registered_artifact_holds	ci_heal_bash_script_emission	yes
123	510.7	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_excludes_stage0_emitted_rust_holds	ci_heal_bash_script_emission	yes
124	510.6	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_remedy_rechecks_before_proceeding_holds	ci_heal_bash_script_emission	yes
125	509.3	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_red_when_an_artifact_is_unexcluded_holds	ci_heal_bash_script_emission	yes
126	509.2	test.claim.non_fold_residue_witness	non_fold_residue_clean_holds	pollable_marginal_other	yes
127	509.2	test.claim.roadmap_sandbox_witness	witness_family_fixture_frame_occurrences_exact	roadmap_page_html_emit	yes
128	508.9	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_remedy_merges_the_built_from_revision_holds	ci_heal_bash_script_emission	yes
129	508.8	test.claim.live_deploy.emit	witness_retract_script_owned_only	live_deploy_script_emit	yes
130	508.4	test.claim.live_deploy.emit	witness_retract_attempt_state_root_refuses_when_nonempty	live_deploy_script_emit	yes
131	508.4	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_uses_structural_control_flow_holds	ci_heal_bash_script_emission	yes
132	508.3	v2.test.claim.identity_captured_navigation.roster_gate	roster_ingest_stage_zero_suspects_within_ratchet	repeated_prepare_grammar_lens_scan	yes
133	508.2	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_refusal_aborts_the_merge_holds	ci_heal_bash_script_emission	yes
134	507.8	test.claim.live_deploy.emit	witness_retract_preamble_acknowledges_shared_sudoers_install	live_deploy_script_emit	yes
135	507.6	test.claim.live_deploy.emit	witness_retract_owned_process_removes_serve_service	live_deploy_script_emit	yes
136	507.3	v2.test.claim.identity_captured_navigation.roster_gate	green_control_sanctioned_reader_body_not_flagged	repeated_prepare_grammar_lens_scan	yes
137	506.7	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_emit_did_not_refuse_holds	ci_heal_bash_script_emission	yes
138	506.6	test.claim.compute_board_readiness_witness	w_altra_contact_map_is_published_and_lands_in_design_family	pollable_marginal_other	yes
139	506.6	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_pre_repair_grammar_restores_the_RED	dag_arrow_lambda_emit_fold	yes
140	506.6	test.claim.live_deploy.emit	emitted_twin_retract_removes_nothing_of_productions	live_deploy_script_emit	yes
141	506.4	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_missing_body_refuses_RED	dag_arrow_lambda_emit_fold	yes
142	506.0	test.claim.roadmap_static_site_witness	witness_readback_script_curls_are_wall_clock_bounded	roadmap_page_html_emit	yes
143	505.7	test.claim.live_deploy.emit	witness_blue_and_green_retirement_both_preserve_reusable_dispatch_state	live_deploy_script_emit	yes
144	505.7	test.claim.roadmap_static_site_witness	witness_readback_script_checks_health_and_digests	roadmap_page_html_emit	yes
145	505.6	test.claim.roadmap_page_witness	witness_daily_leads_operational_not_narrative	roadmap_page_html_emit	yes
146	505.5	test.claim.live_deploy.emit	witness_scripts_stay_within_ci_runner_grants	live_deploy_script_emit	yes
147	505.5	v2.test.execution.pick_ingested_probe	pick_probe_swapped_arms_structural_red_holds	emit_host_execution_witness	yes
148	505.4	gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_type_fn_module_dissolution_refuses_RED	pollable_marginal_other	yes
149	505.3	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_sum_decl_unchanged	dag_arrow_lambda_emit_fold	yes
150	505.3	gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_lowered_body_module_still_grafts	pollable_marginal_other	yes
151	505.3	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_emit_octet_bridge_shape_holds	emit_host_execution_witness	yes
152	505.3	v2.test.claim.identity_captured_navigation.roster_gate	red_control_planted_identity_escape_finding_count_is_one	repeated_prepare_grammar_lens_scan	yes
153	505.2	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_paren_arithmetic_unchanged	dag_arrow_lambda_emit_fold	yes
154	505.0	v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_commit_rechecks_unmerged_before_committing_holds	ci_heal_bash_script_emission	yes
155	504.9	test.claim.live_deploy.running_release_identity_witness_test	witness_matching_release_and_surface_grounds	live_deploy_script_emit	yes
156	504.9	v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_resolve_holds	emit_host_execution_witness	yes
157	504.9	v2.test.execution.pick_ingested_structural_lowering	pick2_ingested_pick_false_executes_holds	emit_host_execution_witness	yes
158	504.8	v2.test.execution.pick_ingested_structural_lowering	pick2_ingested_pick_true_executes_holds	emit_host_execution_witness	yes
159	504.7	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_multi_param_lambda_parses	dag_arrow_lambda_emit_fold	yes
160	504.6	v2.test.execution.pick_ingested_probe	pick_probe_pipeline_resolves_holds	emit_host_execution_witness	yes
161	504.5	v2.test.execution.pick_ingested_probe	pick_probe_normalized_then_arm_has_magnitude_child_holds	emit_host_execution_witness	yes
162	504.5	v2.test.execution.pick_ingested_structural_lowering	pick_ingested_swapped_arms_red_holds	emit_host_execution_witness	yes
163	504.4	test.claim.roadmap_static_site_witness	witness_roadmap_route_is_plain_text	roadmap_page_html_emit	yes
164	504.4	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_staging_emit_refuses_underived_holds	emit_host_execution_witness	yes
165	504.4	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_emit_accepts_holds	emit_host_execution_witness	yes
166	504.2	test.claim.roadmap_static_site_witness	witness_site_artifact_model_populated	roadmap_page_html_emit	yes
167	504.2	v2.test.execution.pick_ingested_probe	pick_probe_normalized_arrow_branch_holds	emit_host_execution_witness	yes
168	504.2	v2.test.claim.identity_captured_navigation.roster_gate	roster_parse_stage_zero_suspects_within_ratchet	repeated_prepare_grammar_lens_scan	yes
169	504.1	gunbc.test.claim.realization_sweep_test	witness_sweep_receipt_and_histogram_render_every_row	pollable_marginal_other	yes
170	504.1	test.claim.roadmap_forecast_witness	witness_live_graph_refuses_with_located_counted_calibration_gaps	roadmap_page_html_emit	yes
171	504.0	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_lambda_in_pipeline_parses	dag_arrow_lambda_emit_fold	yes
172	504.0	v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_normalize_holds	emit_host_execution_witness	yes
173	503.9	v2.test.execution.pick_ingested_structural_lowering	pick_ingested_parsed_module_from_source_holds	emit_host_execution_witness	yes
174	503.8	test.claim.live_deploy.emit	twin_and_production_configure_disjoint_tailscale_endpoints	live_deploy_script_emit	yes
175	503.8	test.claim.roadmap_page_witness	witness_authority_serializes_with_structure	roadmap_page_html_emit	yes
176	503.7	test.claim.live_deploy.readiness	witness_transport_get_probe_over_ssh_does_not_ground_mock_stdout	live_deploy_script_emit	yes
177	503.7	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_emit_source_arm_shape_holds	emit_host_execution_witness	yes
178	503.7	v2.test.execution.emit_host_produced_module_equals_eval	emit_host_produced_module_add_equals_eval_holds	emit_host_execution_witness	yes
179	503.6	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_canonical_emit_refuses_underived_holds	emit_host_execution_witness	yes
180	503.5	test.claim.live_deploy.apply	witness_digest_readback_script_is_bounded_and_post_mutation	live_deploy_script_emit	yes
181	503.5	gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_type_only_module_dissolution_refuses_RED	pollable_marginal_other	yes
182	503.5	v2.test.lens_testgen.generator_provenance	lens_testgen_scheduled_generators_carry_provenance_holds	pollable_marginal_other	yes
183	503.5	v2.test.claim.body_lowering.atom_body_discriminator_witness	atom_body_discriminator_single_pass_receipt_holds	pollable_marginal_other	yes
184	503.5	v2.test.claim.identity_captured_navigation.roster_gate	unrelated_caret_literal_call_not_flagged	repeated_prepare_grammar_lens_scan	yes
185	503.4	test.claim.roadmap_tactile_witness	witness_sound_toggle_label_is_painted_by_the_program_not_the_markup	roadmap_page_html_emit	yes
186	503.4	v2.test.execution.add_arrow_eval_by_execution	add_arrow_eval_source_pipeline_admits_add_holds	emit_host_execution_witness	yes
187	503.3	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_zero_param_refuses_RED	dag_arrow_lambda_emit_fold	yes
188	503.2	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_match_arm_fat_arrow_unchanged	dag_arrow_lambda_emit_fold	yes
189	503.2	gunbc.test.claim.namespace_graft_body_dissolution_witness_test	witness_header_only_module_still_accepts	pollable_marginal_other	yes
190	503.2	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_resolves_holds	emit_host_execution_witness	yes
191	503.2	v2.test.execution.emit_host_classical_not_ingested_equals_eval	emit_host_classical_not_ingested_equals_eval_holds	emit_host_execution_witness	yes
192	503.2	v2.test.execution.pick_ingested_structural_lowering	pick_ingested_normalized_arrow_has_branch_body_holds	emit_host_execution_witness	yes
193	503.1	test.claim.altra_contact_map_witness	w_classified_population_cross_foots_pin_summary	pollable_marginal_other	yes
194	503.1	test.claim.roadmap_static_site_witness	witness_artifact_digests_are_content_hashes	roadmap_page_html_emit	yes
195	503.1	test.claim.roadmap_static_site_witness	witness_text_routes_include_health_and_artifacts	roadmap_page_html_emit	yes
196	503.1	v2.test.lens_testgen.shadow_ci_receipt	lens_testgen_shadow_ci_run_receipt_holds	pollable_marginal_other	yes
197	503.1	v2.test.execution.emit_host_native_only_verdict	emit_host_native_only_classical_not_swapped_mismatch_detected_holds	emit_host_execution_witness	yes
198	503.0	test.claim.roadmap_site_surface_readiness	witness_roadmap_site_surface_readiness_materialized_batch_holds	roadmap_page_html_emit	yes
199	503.0	v2.test.claim.identity_captured_navigation.roster_gate	roster_accumulator_copy_analyze_zero_suspects_within_ratchet	repeated_prepare_grammar_lens_scan	yes
200	502.9	gunbc.test.claim.dag_arrow_lambda_witness_test	witness_lambda_block_body_parses	dag_arrow_lambda_emit_fold	yes
201	502.9	test.claim.live_deploy.readiness	witness_bounded_poll_early_exit_on_grounded_read	live_deploy_script_emit	yes
202	502.9	v2.test.execution.emit_host_classical_not_ingested_equals_eval	ingested_classical_not_eval_subgraph_canonical_octet_zero_holds	emit_host_execution_witness	yes
203	502.8	v2.test.execution.emit_host_native_only_verdict	emit_host_native_only_classical_not_holds	emit_host_execution_witness	yes
204	502.8	v2.test.execution.pick_ingested_structural_lowering	pick2_ingested_swapped_arms_red_holds	emit_host_execution_witness	yes
205	502.8	v2.test.claim.identity_captured_navigation.roster_gate	red_control_planted_identity_escape_still_alarms	repeated_prepare_grammar_lens_scan	yes
206	502.7	test.claim.live_deploy.readiness	witness_ssh_mock_stdout_is_discriminating_red	live_deploy_script_emit	yes
207	502.7	test.claim.live_deploy.running_release_identity_witness_test	witness_body_without_release_identity_refuses	live_deploy_script_emit	yes
208	502.7	test.claim.live_deploy.running_release_identity_witness_test	witness_correct_artifacts_with_wrong_bundle_identity_refuses	live_deploy_script_emit	yes
209	502.7	test.claim.live_deploy.running_release_identity_witness_test	witness_surface_projection_ignores_identity_members	live_deploy_script_emit	yes
210	502.7	test.claim.roadmap_static_site_witness	witness_static_site_route_authority_paths_locked	roadmap_page_html_emit	yes
211	502.7	v2.test.claim.identity_captured_navigation.roster_gate	roster_body_lowering_fold_zero_suspects_within_ratchet	repeated_prepare_grammar_lens_scan	yes
