# source_run	32626789562
# source_job	97163823291
# source_head	fc9118ac00
# measurement	Required floor cost outcomes after witness-execution closure; interrupted rows carry lower bounds, completed rows carry exact costs. This artifact records observations only and declares no accepting disposition.
outcome	identity	observed_ms	limit_ms	margin_ms
interrupted-lower-bound	v2.test.claim.enforcement_live_witness.enforcement_consistency_gate_holds	36334	5000	31334
interrupted-lower-bound	v2.test.claim.enforcement_live_witness.complexity_repo_wide_verdict_matches_roadmap	35824	5000	30824
interrupted-lower-bound	v2.test.claim.enforcement_live_witness.per_root_sentinels_hold_in_one_walk	36448	5000	31448
interrupted-lower-bound	v2.test.claim.enforcement_live_witness.live_corpus_is_currently_all_body_unavailable	36074	5000	31074
interrupted-lower-bound	v2.test.claim.enforcement_live_witness.bound_contracts_derive_live_receipts	36927	5000	31927
interrupted-lower-bound	v2.test.claim.enforcement_live_witness.unbound_contracts_omit_semantic_receipts	36998	5000	31998
interrupted-lower-bound	v2.test.realization_vocabulary_containment.cli_vocabulary.rest_path_reaches_no_cli.extdeps_reaches_no_cli_construction_vocabulary	23662	5000	18662
interrupted-lower-bound	v2.test.realization_vocabulary_containment.cli_vocabulary.rest_path_reaches_no_cli.compiler_substrate_reaches_no_cli_construction_vocabulary	23400	5000	18400
interrupted-lower-bound	v2.test.realization_vocabulary_containment.cli_vocabulary.rest_path_reaches_no_cli.gunbc_consumers_reach_transport_vocabulary_only_by_named_admission	23925	5000	18925
interrupted-lower-bound	v2.test.realization_vocabulary_containment.cli_vocabulary.rest_path_reaches_no_cli.test_corpus_reaches_cli_vocabulary_only_as_declared_exercise	24358	5000	19358
completed-exact	test.claim.transport_script_wall_compile_red.wall_red_string_join_into_retained_record_refuses	53591	5000	48591
completed-exact	test.claim.transport_script_wall_compile_red.wall_red_deleted_free_minter_refuses	5678	5000	678
